name_7401#0,"""Speeder"""
ssn_015160_001_0001#0,"""Good to see ya, pal! I'm Speeder, a training instructor."""
ssn_015160_001_0002#0,"""Gah... Hear me out, will ya? Lately I've noticed that ARKs have been lackin' in the running department, see?"""
ssn_015160_001_0003#0,"""So there's this machine that'll have you runnin' until your legs feel like they're made outta pure Photon."""
ssn_015160_001_0004#0,"""Whassat? You ain't heard of it? Bah, you should be fine goin' in blind."""
ssn_015160_001_0005#0,"""What I'm sayin' is, I wanna see you runnin' with that machine. で、マシーンを使ったお前さんの走りを、<br>ちょっくら見せてほしいってコトよ。"""
ssn_015160_001_0201#0,"""Oh... Aight. That's too bad, I was hopin' I'd get to see how you run."""
ssn_015160_001_0301#0,"""Hey you! How ya doin'? Stayin' active, yeah?"""
ssn_015160_001_0302#0,"""We should go joggin' sometime!"""
npc_menu_0001#0,"""タスクを開く"""
npc_menu_0002#0,"""“フィールドレース”について"""
npc_menu_0003#0,"""“フィールドレース：走破”について"""
npc_menu_0004#0,"""聞きたいことはない"""
