TrialName_1Enemy#0,"""Подавление н-вторгнувшегося $(0)"""
TrialBeginMsg_1Enemy#0,"""Одолейте $(0)!"""
TrialAbstract_1Enemy#0,"""Одолеть неожиданно вторгнувшегося: $(0)"""
Growup_EnemyBuff_1#0,"""/atime5 Враг, отмеченный как “н-вторгнувшийся”, имеет следующие п. эффекты<br>$(0)"""
Growup_EnemyBuff_2#0,"""/atime5 Враг, отмеченный как “н-вторгнувшийся”, имеет следующие п. эффекты<br>$(0)<br>$(1)"""
Growup_EnemyBuff_3#0,"""/atime5 Враг, отмеченный как “н-вторгнувшийся”, имеет следующие п. эффекты<br>$(0)<br>$(1)<br>$(2)"""
Growup_EnemyBuff_4#0,"""/atime5 Враг, отмеченный как “н-вторгнувшийся”, имеет следующие п. эффекты<br>$(0)<br>$(1)<br>$(2)<br>$(3)"""
Growup_EnemyBuff_5#0,"""/atime5 Враг, отмеченный как “н-вторгнувшийся”, имеет следующие п. эффекты<br>$(0)<br>$(1)<br>$(2)<br>$(3)<br>$(4)"""
SuccessByLifePoint0#0,"""/atime5 Trial завершён<br>Потеряны все LP!"""
SuccessByTimeOver#0,"""/atime5 Trial завершён<br>Время вышло!"""
SuccessByAnnihilation#0,"""\\ボスエネミーを撃破したためトライアル終了"""
NpcComOnForetaste#0,"""＊＊予兆"""
NpcComOnSuccess#0,"""＊＊成功"""
NpcComOnFailure#0,"""＊＊失敗"""
