TrialName#0,"""Возбуждение холодных фотонов"""
TrialBeginMsg#0,"""Одолейте врагов в аномальной среде"""
TrialAbstract#0,"""Используйте холодные фотоны, чтобы одолеть врагов"""
Wave1Msg#0,"""Подходит 1-я волна врагов!\u3000"""
Wave2Msg#0,"""Подходит 2-я волна врагов!"""
Wave3Msg#0,"""Подходит дополнительная волна!"""
NpcComOnBegin#0,"""/voice11_voice_navi004_trial_0001_019 Подтверждаю сигнал множества врагов!<br>Похоже, что ещё в атмосфере находятся возбуждённые фотоны.<br>Будьте осторожны!"""
NpcComOnBegin2#0,"""В воздухе появляются холодные фотоны.<br>Они взорвутся при сильном ударе<br>во время нестабильного состояния."""
NpcComOnWave2#0,"""/voice11_voice_navi004_trial_0001_027 Подтверждаю появление очередных врагов!<br>Повидимому, это также способствует возбуждению<br>холодных фотонов."""
NpcComOnExWave#0,"""/voice11_voice_navi004_trial_0001_041 Подтверждаю уничтожение вра... Чего?<br>Похоже, это ещё не всё. Пожалуйста, разберитесь с ними."""
NpcComOnSuccess#0,"""/voice11_voice_navi004_trial_0001_069 В этот раз точно подтверждаю уничтожение всех врагов.<br>Большое спасибо вам!"""
NpcComOnSuccessNoBonusWave#0,"""/voice11_voice_navi004_trial_0001_069 Подтверждаю уничтожение врагов.<br>Большое спасибо вам!"""
NpcComOnFailure#0,"""/voice11_voice_navi004_trial_0001_073 Чего?.. Враг отступает.<br>Похоже, что и фотоны вернулись к норме."""
