TrialName_1Enemy#0,"""Подавление $(0)"""
TrialBeginMsg_1Enemy#0,"""Одолейте $(0)!"""
TrialAbstract_1Enemy#0,"""Одолеть $(0)"""
TrialName_Multi#0,"""Подавление врагов"""
TrialBeginMsg_Multi#0,"""Разберитесь со всеми появляющимися врагами!"""
TrialAbstract_Multi#0,"""Одолеть всех врагов"""
NpcComGod2ManonAndAina02#0,"""/voicessc_012040_0020 Похоже мы оказались в разных местах."""
NpcComGod2ManonAndAina01#0,"""/voicessc_012040_0010 Где ты сейчас находишься?"""
NpcComGod2ManonAndAina03#0,"""/voicessc_012040_0030 Мы отправим наше местоположение, и потом уже встретимся..."""
NpcComGod2RanBossAppear01#0,"""/voicessc_012040_0040 Высокоэнергетический сигнал из космоса.<br>Приближается сильный враг!"""
NpcComGod2RanBossAppear02#0,"""/voicessc_012040_0050 ...Подтверждаю появление Дарк Фальца."""
NpcComGod2RanBossBattleStart01#0,"""/voicessc_012050_0010 /atime0.5 ARKS, к...ышно?...Если слы...тьте!...Как обс...в...три?!"""
NpcComGod2RanLaterHalf01#0,"""/voicessc_012060_0010 Связь восстановлена! Подтверждаю жизненные показатели.<br>Теперь мы можем следить за ситуацией."""
NpcComGod2RanLaterHalf02#0,"""/voicessc_012060_0030 /atime0.5 Он... Этот Дарк Фальц слабее, чем когда появился впервые!<br>Продолжайте атаковать!"""
NpcComGod2RanBrokenAllParts01#0,"""/voicessc_012060_0070 Дарк Фальц ослаблен ещё сильней. Нападайте!"""
NpcComGod2RanReturnFromDown01#0,"""/voicessc_012060_0050 /atime0.5 Центральная Пушка подготавливается к выстрелу. Идёт переход<br>к завершающему этапу. Ещё немного... Продержитесь пожалуйста!"""
NpcComGod2CrawfordBossAppear03#0,"""/voicessc_012040_0060 /atime0.5 Запуск Пушки займёт немного больше времени.<br>Народ, продержитесь пожалуйста..."""
