TrialName#0,"""$(0)"""
TrialBeginMsg#0,"""Пройдите все <pict minigame_checkp> контрольные точки за 2:30!"""
TrialAbstract#0,"""Пройти все <pict minigame_checkp> контрольные<br>точки за 2:30"""
MLineMsg_TransferSoon#0,"""Подбор завершён. Начнём через 5 секунд."""
MLineMsg_Success#0,"""Гонка в области<br>\""$(0)\"" завершена!"""
MLineMsg_TimeOver#0,"""Гонка в области:<br>Время истекло!"""
MLineMsg_GoalNotice_01#0,"""$(0) из $(1)"""
MLineMsg_GoalNotice_02#0,"""$(0) достиг(ла) цели!"""
MLineMsg_GoalNotice_03#0,"""Время： $(0):$(1).$(2)"""
MLineMsg_GoalNotice_04#0,"""Очков собрано: $(0)"""
MGoalNotice_PlayerFinish#0,"""$(0) достиг(ла) цели! ($(1) из $(2))"""
MBreakawayNotice_PlayerExit#0,"""Вы покинули: $(0)."""
