TrialName#0,"""Уничтожение Зоннела"""
TrialBeginMsg#0,"""Уничтожьте все ослепительные капсулы и зоннел!"""
TrialAbstract#0,"""Уничтожить ослеп. капсулы и зоннел"""
BarrierDestroy#0,"""Ослеп. капсул уничтожено: $(0)"""
NpcComOnBegin#0,"""Подтверждено авто-развёртывание гранатомёта!"""
NpcComOnBegin2#0,"""Основное тело зоннела защищено щитом.<br>Сначала уничтожьте ослепительные капсулы."""
NpcComOnSuccess#0,"""Подтверждаю уничтожение зоннела.<br>Благодарарю за участие."""
NpcComOnSuccess2#0,"""Пожалуйста, соберите припасы из обломков зоннела."""
NpcComOnFailure#0,"""Зоннел отступил...<br>Пожалуйста, перейдите к следующей задаче."""
NpcComOnDestroyMachineFirst#0,"""Сканирую область.<br>Отправляю вам координаты ослепляющих капсул."""
NpcComOnDestroyMachineHalf#0,"""Сканирование области завершено.<br>Передаю координаты всех ослепляющих капсул."""
NpcComOnDestroyMachineAll#0,"""Ослепительные капсулы уничтожены.<br>Щит зоннела отключён."""
NpcComOnNMinutesPassed#0,"""Сканирование области завершено.<br>Передаю координаты всех ослепляющих капсул."""
NpcComOnDestroyMachineLeader#0,"""Модуль управления уничтожен.<br>Подавитель восприятия ослепительных капсул отключён."""
