TrialName_1Enemy#0,"""Подавление $(0)"""
TrialBeginMsg_1Enemy#0,"""Одолейте $(0)!"""
TrialAbstract_1Enemy#0,"""Одолеть $(0)"""
TrialName_Multi#0,"""Подавление врага"""
TrialBeginMsg_Multi#0,"""Одолейте появившегося врага!"""
TrialAbstract_Multi#0,"""Одолеть врага"""
Line_HelpEventManonAndAina#0,"""Поддержка （Аина ＆ Манон）<br>Увеличение скорости передвижения<br>Увеличение силы атаки"""
Line_HelpEventNadereh#0,"""Поддержка （Надереф）<br>Снижение защиты врагов<br>Даретты перестают работать"""
Line_HelpEventIlma#0,"""Поддержка （Илма）<br>Дополнительная атака при попадании"""
Line_HelpEventGlen#0,"""Поддержка （Глен）<br>Увеличение регенерации РР"""
NpcComGod3ManonHelpEvent01#0,"""/voicemsc_020060_0370 Кое-как вышло вовремя внести корректировки."""
NpcComGod3AinaHelpEvent01#0,"""/voicemsc_020060_0360 На связи Аина. Сейчас я окажу вам поддержку!"""
NpcComGod3Nadereh01#0,"""/voicemsc_020060_0380 Похоже, пришла моя очередь."""
NpcComGod3IlmaHelpEvent01#0,"""/voicemsc_020060_0390 Хорошо, я сейчас подсоблю."""
NpcComGod3IlmaHelpEvent02#0,"""/voicemsc_020060_0400 Я это пока не тестировал, но оно должно работать..."""
NpcComGod3Glen01#0,"""/voicemsc_020060_0410 Сейчас я окажу вам поддержку."""
NpcComGod3Glen02#0,"""/voicemsc_020060_0420 И за нас наподдайте им там."""
