TrialName_1Enemy#0,"""Подавление $(0)"""
TrialBeginMsg_1Enemy#0,"""Одолейте $(0)!"""
TrialAbstract_1Enemy#0,"""Одолеть $(0)"""
TrialName_Multi#0,"""Подавление врагов"""
TrialBeginMsg_Multi#0,"""Одолейте врагов!"""
TrialAbstract_Multi#0,"""Одолеть врагов"""
NpcComOnForetaste#0,"""＊＊＊その付近に要警戒エネミーがいるようです！<br>至急、討伐をお願いします。"""
NpcComOnBegin#0,"""＊＊＊"""
NpcComOnSuccess#0,"""＊＊＊エネミーの殲滅を確認しました！<br>即応、ありがとうございます。"""
NpcComOnFailure#0,"""＊＊＊エネミーが撤退しました。<br>……ひとまず、脅威は去りましたね。"""
NpcComOnForetaste#1,"""/voice11_voice_navi003_trial_0001_011 Фиксирую сигнал: $(0)а!<br>Не теряйте бдительности и разберитесь с ним!"""
NpcComOnBegin#1,"""/voice11_voice_navi003_trial_0001_046 Он немного двигается, но его можно<br>остановить пикирующей атакой."""
NpcComOnSuccess#1,"""/voice11_voice_navi003_trial_0001_070 Отлично! У вас получилось!"""
NpcComOnFailure#1,"""/voice11_voice_navi003_trial_0001_074 Хм, похоже, что он смог уйти.<br>Давайте разберёмся с ним в следующий раз!"""
