name01#0,"""シエラ"""
11_voice_train_04001#0,"""こんにちは!<br>ここでは「レンジャーの基礎」に<br>ついて訓練しましょう。"""
text02#0,"""Comencemos aprendiendo acerca de los <red>Just Attacks<c>!"""
text03#0,"""Aparecera un círculo rojo después de usar ataques normales y Photon Arts. ¡Just Attack significa <red>cronometrar tu ataque<c> con ese círculo!"""
text04#0,"""Usa un ataque normal y mide el tiempo de un Photon Art en el círculo rojo."""
text101#0,"""Tarea 1: <yellow>Just Attack y Photon Art"""
train_title#0,"""Tarea 1: <yellow>Just Attack y Photon Art"""
tut_title#0,"""[Just Attacks]"""
text100#0,"""・<%NormalAttack>で通常攻撃をする<br>・赤い円が表示されたタイミングで<br>\u3000<%PhotonArts>でフォトンアーツを発動する"""
text100_3b#0,"""・<%NormalAttack>で通常攻撃をする<br>・赤い円が表示されたタイミングで<br>\u3000<%PhotonArts>もしくは<%MainPaletteC>でフォトンアーツを発動する"""
tut_win_title#0,"""[Just Attacks]"""
tut_win_text100#0,"""Con los \""Just Attacks\"" haces más daño de lo normal.<br><br>Al <c 00ffff>presionar el botón de ataque<c> cuando ves el círculo <red>rojo<c>, tu ataque se convierte en un Just Attack.<br><br><c 00ffff>※ Esto también se aplica a los Photon Arts y Techniques<c><br><br><c ff3300>※ Los ataques de los Pets no pueden ser Just Attacks.<c>"""
