Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci2 2 Today has brought an unexpected bounty, my friend! I put on this bathing costume that my beloved children chose for me, and suddenly I am inundated with comrades!"""
Success#1,"""/ci2 2 Hahaha, Catherine! This bathing suit that you chose has brought us victory!"""
Failure#1,"""I cannot abide a victory if it brings harm to my beloved children! My apologies, comrades, but I must retreat!"""
Dead#1,"""Ah, Catherine...<br>I may lie here defeated, but as long as you gaze upon me..."""
BuddyDead#1,"""...Are you alright? Do not strain yourself, comrade, rest there! My children and I will do our best!"""
