Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci2 3 Two beautiful girls make a dazzling appearance on the beach at the height of summer! It can only be Patty n' Tea! Are you all madly in love with me yet?"""
Success#1,"""/ci2 2 Thank you, thank you! The ever-so-dazzling Patty n' Tea are going to go and find a nice cool spot to watch you from!"""
Failure#1,"""Oh no, did we fail? Aww, I wanted to soak up some more sunlight!"""
Dead#1,"""My head's spinning...<br>The sun is so dazzling..."""
BuddyDead#1,"""Tea, are you OK?!<br>Leave the rest to your sister!"""
