Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 3 ...I think it's just a coincidence. That aside, there seems to be trouble ahead...<br>Could you help us?"""
Success#1,"""/ci1 2 Thank you for your help.<br>Why are we in swimsuits...?<br>Well, this is a particularly nice beach, after all."""
Failure#1,"""Good thinking. It's wise to avoid battles that we can't win.<br>...Excuse me."""
Dead#1,"""No, I wasn't good enough...<br>Please don't look..."""
BuddyDead#1,"""Are you alright?<br>Your pets... I mean, your beloved children are worried about you...<br>Leave the rest to me."""
