Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 2 I'm sorry to drag you into this...<br>But, Leader...<br>Having you here is reassuring..."""
Success#1,"""/ci1 2 Phew... You saved us... Thank you. When things have settled down, we should meet here again. It's a very good spot for a vacation."""
Failure#1,"""Ugh... That was too demanding...<br>I couldn't do any more either...<br>I'll retreat, Leader..."""
Dead#1,"""After all you did for me...<br>I'm sorry..."""
BuddyDead#1,"""Don't worry, Gene. You rest, we'll clean up here."""
