msc_014280_0010#0,"""...แปลกจัง..."""
msc_014280_0020#0,"""ฉันปลดล็อกแล้วนะ แต่<br>ไม่มีอะไรเปลี่ยนแปลงเลย..."""
msc_014280_0030#0,"""บาเรียตรงกลางไม่ยอมเปิด...<br>ไม่เข้าใจเลย..."""
msc_014280_0040#0,"""คุณมาน่อน... มีการติดต่อ<br>จากคุณครอว์ฟอร์ด (Crawford) ถึงคุณค่ะ"""
msc_014280_0050#0,"""ครอว์ฟอร์ด (Crawford) งั้นเหรอ?"""
msc_014280_0060#0,"""ดูเหมือนว่าพวกเขาจะวิเคราะห์ข้อมูล<br>ที่เราส่งไปให้เสร็จแล้วล่ะค่ะ"""
msc_014280_0070#0,"""ขอบคุณนะ"""
msc_014280_0080#0,"""พวกเราวิเคราะห์ข้อมูลที่ส่งมาจาก<br>เหล่า ARKS ที่ต่อสู้ในภูมิภาคสเตีย (Stia Region) แล้วล่ะ"""
msc_014280_0090#0,"""ฐานที่มั่นส่วนกลาง... <br>ถ้าจะเรียกให้ถูกก็คือ 'เขตศูนย์กลางสเตีย (Stia Central Region)' สินะ"""
msc_014280_0100#0,"""เพื่อที่จะเข้าไปข้างใน ดูเหมือนว่ายังมีอุปกรณ์อีกเครื่องหนึ่ง<br>ที่พวกเธอต้องเข้าไปใช้งานเพื่อปลดล็อกนะ"""
msc_014280_0110#0,"""นั่นก็ใช่ค่ะ แต่พวกเราไม่แน่ใจเลยว่า<br>มันอยู่ที่ไหน หรือต้องใช้งานมันยังไง..."""
msc_014280_0120#0,"""พอดีฉันได้ขอให้เพื่อนช่วยตรวจสอบเรื่องนี้ให้พวกเราแล้วล่ะ"""
msc_014280_0130#0,"""มาน่อน!"""
msc_014280_0140#0,"""นั่น-- อิลม่า (Ilma) งั้นเหรอ?"""
msc_014280_0150#0,"""เอาล่ะ เรื่องตำแหน่งและวิธีใช้งาน<br>อุปกรณ์ควบคุมเครื่องสุดท้ายน่ะนะ..."""
msc_014280_0160#0,"""ฉันเพิ่งส่งข้อมูลบางอย่างไปที่แม็ก (Mag) ของพวกเธอแล้วล่ะ!<br>ใช้มันเป็นแนวทางสำหรับสิ่งที่พวกเธอต้องทำได้เลยนะ!"""
msc_014280_0170#0,"""พวกเธอจะต้องทำตามลำดับที่ถูกต้อง<br>แต่ฉันคิดว่าพวกเธอคงไม่มีปัญหาในการหาวิธีจัดการมันหรอก"""
msc_014280_0180#0,"""ยังไงก็เถอะ ฉันขอตัวกลับไป<br>ทำงานวิจัยต่อก่อนล่ะ แล้วเจอกันนะ!"""
msc_014280_0190#0,"""น้ำเสียงของอิลม่า (Ilma) ดูมั่นใจ<br>ในความสามารถของพวกเธอมากเลยนะ"""
msc_014280_0200#0,"""ฉันเองก็ขอเห็นด้วยกับความมั่นใจนั้น<br>ถ้าจะมีใครทำได้ ก็ต้องเป็นพวกเธอแล้วล่ะ"""
msc_014280_0210#0,"""ครอว์ฟอร์ด (Crawford)..."""
msc_014280_0220#0,"""แทบจะไม่ต้องสงสัยเลยว่า Dark Falz<br>กำลังหลับใหลอยู่ภายในเขตศูนย์กลางของสเตีย..."""
msc_014280_0230#0,"""ขอโทษนะที่ต้องขอให้พวกเธอช่วยมากมายขนาดนี้ ทางเราเองก็กำลัง<br>เตรียมตัวอยู่เหมือนกัน อดทนไว้อีกนิดนะ"""
msc_014280_0250#0,"""พวกเราขนย้ายและปฐมพยาบาลผู้บาดเจ็บเสร็จแล้วค่ะ พวกเราจะมุ่งหน้าไปยังเขตศูนย์กลางของสเตียในอีกไม่ช้า"""
msc_014280_0260#0,"""เข้าใจแล้ว พวกเราก็จะทำหน้าที่ต่อไปเช่นกัน"""
msc_014280_0270#0,"""โชคดีนะ"""
name01#0,"""เรนเจอร์กองกำลังสำรวจเอลิโอ (Aelio Expeditionary Ranger)"""
name02#0,"""ฟอร์ซกองกำลังสำรวจเอลิโอ (Aelio Expeditionary Force)"""
name03#0,"""ฮันเตอร์กองกำลังแนวหน้าสเตีย (Stia Vanguard Hunter)"""
name04#0,"""ไฟท์เตอร์กองกำลังแนวหน้าสเตีย (Stia Vanguard Fighter)"""
