msc_014250_0010#0,"""ย้ากกก!!"""
msc_014250_0020#0,"""...อั้ก!!"""
msc_014250_0030#0,"""อ๊ากกก!"""
msc_014250_0040#0,"""ถ้าหยุดขยับตัวเมื่อไหร่ได้ตายแน่! เตรียมพร้อมที่จะหลบหลีกอยู่เสมอ!"""
msc_014250_0050#0,"""เข้าใจแล้ว!"""
msc_014250_0060#0,"""ฮ้ากกก!"""
msc_014250_5010#0,"""ฮ่าห์!"""
msc_014250_5020#0,"""ฮึบ!"""
msc_014250_5030#0,"""ฮึบ!"""
msc_014250_5040#0,"""ฮะ!"""
msc_014250_5050#0,"""อึก!"""
msc_014250_5110#0,"""อ๊ากก!!"""
msc_014250_5120#0,"""โอ้ววว!!"""
msc_014250_5130#0,"""อั้ก!"""
msc_014250_5140#0,"""ฮะ!"""
msc_014250_5150#0,"""โอ้ววว!!"""
msc_014250_5160#0,"""ย่าห์!"""
msc_014250_5170#0,"""ฮึบ!"""
msc_014250_5180#0,"""ฮ่าห์!"""
msc_014250_5190#0,"""ฮะ!! ย๊ากก เอาล่ะนะ"""
msc_014250_5200#0,"""ว้ากกก!!"""
name01#0,"""เรนเจอร์กองกำลังสำรวจเอลิโอ (Aelio Expeditionary Ranger)"""
name02#0,"""ฟอร์ซกองกำลังสำรวจเอลิโอ (Aelio Expeditionary Force)"""
name03#0,"""ฮันเตอร์กองกำลังแนวหน้าสเตีย (Stia Vanguard Hunter)"""
name04#0,"""ไฟท์เตอร์กองกำลังแนวหน้าสเตีย (Stia Vanguard Fighter)"""
