msc_014270_0010#0,"""แฮก... แฮก... พวกมันเยอะมากเลยแฮะ..."""
msc_014270_0020#0,"""เราต้องรักษาผู้รอดชีวิตทันที"""
msc_014270_0030#0,"""หน่วยแพทย์อยู่ไหน?"""
msc_014270_0040#0,"""..."""
msc_014270_0050#0,"""ใครที่ยังไหว ไปช่วยรักษาคนเจ็บที!"""
msc_014270_0060#0,"""ทีมสำรวจ รายงานสถานการณ์!"""
msc_014270_0070#0,"""ท่านครับ! เราพบสิ่งที่ดูเหมือนจะเป็นห้องควบคุมอยู่ด้านหลังครับ!"""
msc_014270_0080#0,"""รับทราบ"""
msc_014270_0085#0,"""...ฉันขอให้พวกเธอช่วยคุ้มกันพวกเขาด้วย"""
msc_014270_0090#0,"""พวกเราจะดูแลผู้บาดเจ็บอยู่ที่นี่<br>ช่วยไปดูอุปกรณ์ควบคุมให้ทีได้ไหมคะ?"""
msc_014270_0100#0,"""เข้าใจแล้ว"""
msc_014270_5010#0,"""ขอยาทางนี้ด้วย! โอ๊ยยย<br>ไอ้เจ้านั่น ดันโจมตีเข้ามาตรงๆ เลยงั้นเหรอ......"""
name01#0,"""เรนเจอร์กองกำลังสำรวจเอลิโอ (Aelio Expeditionary Ranger)"""
name02#0,"""ฟอร์ซกองกำลังสำรวจเอลิโอ (Aelio Expeditionary Force)"""
name03#0,"""ฮันเตอร์กองกำลังแนวหน้าสเตีย (Stia Vanguard Hunter)"""
name04#0,"""ไฟท์เตอร์กองกำลังแนวหน้าสเตีย (Stia Vanguard Fighter)"""
