name_7004#0,"""ครอว์ฟอร์ด (Crawford)"""
msn_021031_0010#0,"""เรียบร้อยแล้วใช่ไหมครับ?"""
msn_021031_0020#0,"""เอาล่ะ ก่อนที่เราจะเข้าสู่ประเด็นหลัก เรามาทำความเข้าใจสถานการณ์กันก่อนนะครับ"""
msn_021031_0030#0,"""มีคำถามอะไรอยากจะถามผมไหมครับ?"""
npc_menu_0010#0,"""เกี่ยวกับฮาลฟา (Halpha)"""
npc_menu_0020#0,"""เกี่ยวกับ ARKS"""
npc_menu_0030#0,"""เกี่ยวกับเซเฟตโต้ (Zephetto)"""
npc_menu_0040#0,"""เกี่ยวกับ Starless"""
npc_menu_0050#0,"""ดำเนินการประชุมต่อ"""
npc_menu_0060#0,"""ปิดเมนู"""
msn_021031_menu_0010_01#0,"""ดาวเคราะห์ฮาลฟา (Halpha) ที่พวกเราอาศัยอยู่นี้ เพิ่งจะถูกค้นพบว่าเป็นสถานที่ทดลองของ Resurgent ARKS น่ะครับ"""
msn_021031_menu_0010_02#0,"""ทั้งหมดนี้ก็เพื่อสร้าง ARKS ขึ้นมา เพื่อใช้ต่อกรกับพวก Starless"""
msn_021031_menu_0010_03#0,"""มันยากที่จะเชื่อนะครับ แต่จากสถานการณ์ปัจจุบันของเรา มันชี้ให้เห็นว่านี่น่าจะเป็นความจริง..."""
msn_021031_menu_0020_01#0,"""ตอนนี้เรารู้แล้วว่าพวกเรา ARKS ถูกสร้างขึ้นมาเพื่อต่อสู้กับพวก Starless..."""
msn_021031_menu_0020_02#0,"""ผมคิดว่าทุกคนบนฮาลฟา (Halpha) คงต้องใช้เวลาสักพัก ในการทำใจยอมรับความจริงนี้ล่ะครับ"""
msn_021031_menu_0020_03#0,"""พูดตามตรง ผมเองก็ยังจัดการกับความรู้สึกของตัวเองเกี่ยวกับเรื่องนี้ไม่ได้ทั้งหมดหรอกนะครับ..."""
msn_021031_menu_0030_01#0,"""ผู้ปกครองของ Resurgent ARKS และเป็นผู้ดูแลการทดลองต่างๆ บนฮาลฟา (Halpha)..."""
msn_021031_menu_0030_02#0,"""นอกเหนือจากนั้น เราก็ไม่ค่อยรู้อะไรเกี่ยวกับผู้ชายคนนี้มากนักหรอกครับ"""
msn_021031_menu_0030_03#0,"""หลังจากการต่อสู้กับพวกคุณ เขาก็ออกไปเผชิญหน้ากับพวก Starless ที่จู่ๆ ก็ปรากฏตัวขึ้นมาใช่ไหมครับ?"""
msn_021031_menu_0030_04#0,"""หลังจากนั้นก็ไม่มีใครรู้เบาะแสของเขาเลย..."""
msn_021031_menu_0040_01#0,"""ศัตรูที่ไม่รู้จัก... นั่นคงเป็นคำอธิบายที่ดีที่สุดที่ผมจะอธิบายพวกเขาได้แล้วล่ะครับ"""
msn_021031_menu_0040_02#0,"""พวกเขาเป็นสิ่งมีชีวิตเหรอ? หรือว่าเป็นเครื่องจักร? พวกเขาจะมาเมื่อไหร่?..."""
msn_021031_menu_0040_03#0,"""...มีเรื่องที่เรายังไม่รู้อีกมากเลยครับ"""
msn_021031_menu_0040_04#0,"""สิ่งที่รู้ก็คือพวกเขาเป็นภัยคุกคามที่ยิ่งใหญ่กว่า Dark Falz ซะอีก..."""
msn_021031_menu_0040_05#0,"""ผมคิดว่าเราคงพูดได้แค่นี้แหละครับ"""
msn_021031_menu_0050_01#0,"""เอาล่ะ เข้าใจแล้วครับ"""
