un_064100_0010#0,"""Vaya Vaya, <%me>. Holi."""
un_064100_0020#0,"""Harriet se quedó en Omega. Lisa solo tiene a Lisa dentro de ella ahora."""
un_064100_0030#0,"""Incluso si quisieras hablar con ella, Lisa no podía hacer nada al respecto."""
un_064100_0040#0,"""¿Estas bien?"""
un_064100_0050#0,"""¿Te sientes sola?"""
un_064100_0060#0,"""¿Estás hablando del alma inestable de Lisa? Incluso sin Harriet, Lisa seguira siendo Lisa."""
un_064100_0070#0,"""¿...Sola? Lisa no lo entiende."""
un_064100_0080#0,"""El alma de Lisa puede ser inestable, pero eso no significa que se volverá loca si Harriet se va."""
un_064100_0090#0,"""Pero Lisa todavía tiene su Arma Génesis. No es tan fuerte, pero Lisa puede luchar como siempre."""
un_064100_0100#0,"""Lisa volverá a encontrarse con Harriet. Y ella disparará y disparará y disparará a todos los enemigos."""
un_064100_0110#0,"""Jiji, jejejeje..."""
linewindow001#0,"""Ahora puede llamar a Lisa (EP6) como acompañante."""
