un_062060_0010#0,"""실례합니다."""
un_062060_0020#0,"""안녕하세요, 류드밀라 씨.<br>무슨 일이신가요？"""
un_062060_0030#0,"""A.I.S 개조 건인데요……<br>총무부에 갔더니 아무도 없어서<br>직접 상의하러 왔습니다."""
un_062060_0040#0,"""아, 시바가 나타난 뒤로<br>어디든 정신없이 바쁘거든요.<br>제가 대신 말씀을 들어 볼게요."""
un_062060_0050#0,"""그럼 바로 이걸 봐 주세요.<br>A.I.S 개조에 필요한 부품 목록과 사양서,<br>견적서와 전용 시설 계획서입니다."""
un_062060_0060#0,"""네, 확인해 볼게요."""
un_062060_0070#0,"""음…… 장갑 강화 부품 180종,<br>조종석 안의 조작 장치 확장,<br>신형 부스터 사양서와 견적서……"""
un_062060_0080#0,"""프레임 구동 효율을 높일 추가 예산과<br>개조 시설 및 전용 격납고 설계도……<br>바닥 면적이…… 뭐！？ 12만 제곱미터！？"""
un_062060_0090#0,"""류드밀라 씨.<br>아무리 그래도 이걸 전부 승인받기는……"""
un_062060_0100#0,"""그럼 부탁드릴게요."""
un_062060_0110#0,"""잠깐, 잠깐만요！<br>이 규모는 갑자기 진행할 수 없어요！<br>기술자도 부족하고요！"""
un_062060_0120#0,"""허가만 받으면<br>나머지는 저희가 전부 하겠습니다."""
un_062060_0130#0,"""아니, 그런 문제가 아니라……<br>갑자기 이런 결재안을 올리면 난리가 나요！<br>시설을 지을 만한 부지도 없고요."""
un_062060_0140#0,"""포토너는 기다려 주지 않습니다.<br>아크스를 지키는 데 필요합니다.<br>부탁드릴게요."""
un_062060_0150#0,"""자, 잠깐만요！"""
un_062060_0160#0,"""무리한 부탁도 정도가 있죠……<br><%me> 씨도<br>그렇게 생각하시죠！？"""
un_062060_0170#0,"""시에라도 고생이 많네……"""
un_062060_0180#0,"""힘내, 시에라"""
un_062060_0190#0,"""정말 그렇다니까요！<br>하필 이럴 때<br>샤오도 어디론가 가 버렸고요！"""
un_062060_0200#0,"""완전히 남의 일처럼 말하네요！？<br>A.I.S 이야기라고요.<br>직접 타기도 하잖아요……"""
un_062060_0210#0,"""하아…… 정보부도 연구부도<br>늘 저한테 무리한 부탁만 해요！"""
un_062060_0220#0,"""제가 할게요！<br>하면 되잖아요！<br>정말！"""
