un_063170_0010#0,"""아！ 안녕하세요！<br>파티 앤 티아예요！"""
un_063170_0020#0,"""아, <%me> 씨.<br>지금 개조한 A.I.S의 조작감에 대해<br>이야기하던 중이었습니다."""
un_063170_0030#0,"""두 분은 정보상이라<br>다른 아크스 분들의 의견도<br>들어 보셨다고 해서요."""
un_063170_0040#0,"""그럼 이제부터는<br>두 분의 주관적인 의견을<br>듣고 싶습니다."""
un_063170_0050#0,"""이야, 우리를 눈여겨보다니<br>류드밀라는 제법<br>안목이 있는 연구원이네！"""
un_063170_0060#0,"""저희도 A.I.S를 조종해 본 적이 있으니<br>도움이 된다면 기꺼이요."""
un_063170_0070#0,"""그리고 또！ 평소에는 정보상으로<br>취재하는 쪽이잖아. 가끔 이렇게<br>질문을 받는 것도 나쁘지 않네！"""
un_063170_0080#0,"""늘 취재하는 건 나뿐이지만……<br>파티도 혼자서 제대로<br>취재할 수 있게 되어야지……"""
un_063170_0090#0,"""좋아, 좋아！<br>뭐든 대답해 줄게！"""
un_063170_0100#0,"""내 말도 좀 들어, 바보 언니."""
un_063170_0110#0,"""그럼 먼저 간단한 것부터 묻겠습니다.<br>우주 공간에서 A.I.S의 기동성은 어떤가요？<br>몸에 부담이 가기도 하나요？"""
un_063170_0120#0,"""음, 역시 뭔가<br>지상보다 둥실둥실한 느낌이야.<br>가끔 「훅！」 하고 쏠리지만."""
un_063170_0130#0,"""아, 음……<br>그러면 하이 부스트를 쓸 때<br>반동은 어떤가요？"""
un_063170_0140#0,"""「붕！」 하고 나서<br>「확！」 하고 오는 거 말이지.<br>그건 왠지 좀 좋아！"""
un_063170_0150#0,"""아, 그렇군요……<br>티아 씨는 어떤가요？"""
un_063170_0160#0,"""우주 공간에서는 역시 위아래 감각이<br>불안해질 때가 있어요."""
un_063170_0170#0,"""하이 부스트는 몸이 조금<br>조이는 듯한 느낌이 들지만<br>신경 쓸 정도는 아닌 것 같아요."""
un_063170_0180#0,"""그렇군요！<br>사격 정확도는 어떤가요？"""
un_063170_0190#0,"""글쎄요, 실탄이었다면<br>공기 저항의 차이가 크게 나타나겠지만<br>포톤 탄이라 그 정도는……"""
un_063170_0200#0,"""네, 네！<br>또 나한테 묻고 싶은 건 없어？"""
un_063170_0210#0,"""아, 파티 씨는 이제 됐습니다.<br>감사했습니다."""
un_063170_0220#0,"""참, <%me> 씨.<br>나중에 의견도 들려주세요.<br>그럼 티아 씨에게 질문할게요……"""
un_063170_0230#0,"""무시하지 마！<br>나도 끼워 줘！"""
