un_061140_0010#0,"""수고하셨어요.<br>네, 가동 데이터를 받을게요."""
un_061140_0020#0,"""……그렇군, 이런 느낌인가.<br>역시 실제 데이터는 다르네."""
un_061140_0030#0,"""구동계에 걸리는 부담이 꽤 심한데.<br>기동성을 높이려 했다고 해도<br>내구성을 낮춘 건 좋지 않았나……"""
un_061140_0040#0,"""아하하……<br>이렇게 푹 빠진 모습을 보고 있으면<br>왠지 시에라와 닮지 않았어？"""
un_061140_0050#0,"""그러고 보니 닮았네"""
un_061140_0060#0,"""겉모습은 안 닮았어"""
un_061140_0070#0,"""그렇지, 닮았지.<br>어딘가 먼 친척 같기도 하고……"""
un_061140_0080#0,"""정말, 겉모습 이야기가 아니야.<br>일에 집중하는 모습이<br>닮은 것 같다는 뜻이었어."""
un_061140_0090#0,"""그래도 그럴 리 없겠지.<br>시에라는 각 함선에 한 명뿐인<br>하이 캐스트니까……"""
un_061140_0100#0,"""뭐, 닮은 면은 있을지도 모르죠.<br>저도 하이 캐스트니까요.<br>류드밀라 타입이죠."""
un_061140_0110#0,"""뭐？ 정말이야？"""
un_061140_0120#0,"""허공기관이 해체된 뒤<br>아크스 조직 개편에 따라<br>연구부도 다시 꾸려졌습니다."""
un_061140_0130#0,"""새로 꾸린 연구부에는<br>루서 같은 천재는 없었지만<br>분야마다 전문가가 많았습니다."""
un_061140_0140#0,"""그분들의 지식과 경험을<br>데이터베이스로 만들고 연산에 특화된<br>모듈에 담았죠."""
un_061140_0150#0,"""그렇게 완성된 게 저예요.<br>연구부 소속 A.I.S 연구·개발 특화형<br>하이 캐스트 류드밀라랍니다."""
un_061140_0160#0,"""그렇구나！<br>시에라 말고도<br>하이 캐스트가 있었네."""
un_061140_0170#0,"""네. 그래서 저는<br>A.I.S를 철저히 연구하고 개량해<br>강화할 의무가 있습니다."""
un_061140_0180#0,"""그러니 제 연구를 위해<br>A.I.S를 마음껏 움직여서<br>데이터를 모아 와 주세요."""
un_061140_0190#0,"""그럼 부탁드려요.<br>안녕히 가세요."""
un_061140_0200#0,"""저런 이야기를 들으니<br>A.I.S 조종이 서툴러도 도와야겠다는<br>생각이 들어."""
un_061140_0210#0,"""응, 나도 힘낼게！<br>함께 힘내자！<br><%me>！"""
