un_064110_0010#0,"""아, <%me> 씨.<br>잠깐 괜찮으신가요？"""
un_064110_0020#0,"""혹시……<br>리사 씨를 알고 계시죠？"""
un_064110_0030#0,"""알고 있어"""
un_064110_0040#0,"""몰라"""
un_064110_0050#0,"""그렇죠, 유명한 분이니까요.<br>그럼 부탁 하나만 드릴게요."""
un_064110_0060#0,"""정말요？ 유명한 분이라<br>적어도 얼굴은 아실 줄 알았는데요.<br>뭐, 일단 들어 주세요."""
un_064110_0070#0,"""리사 씨가 탔던<br>A.I.S의 가동 데이터를 살펴봤는데<br>사격 반응 속도가 이상할 정도로 빨라요."""
un_064110_0080#0,"""레이더가 감지하기도 전에<br>적의 위치를 파악하고 있어요.<br>아무리 그래도 있을 수 없는 일이죠."""
un_064110_0090#0,"""이유를 알아내면<br>A.I.S를 더 개량할 수 있어서<br>리사 씨에게 물어보고 싶었는데……"""
un_064110_0100#0,"""리사에게 무슨 일인가요오？"""
un_064110_0110#0,"""우왓, 깜짝 놀랐어요！<br>아, 리사 씨 맞으신가요？"""
un_064110_0120#0,"""네, 네. 리사예요오.<br>리사에게 무슨 용건인가요오？"""
un_064110_0130#0,"""네, 리사 씨가 탔던 A.I.S의<br>가동 데이터를 살펴보다가<br>궁금한 점이 생겨서요……"""
un_064110_0140#0,"""몇 번이나 레이더가 감지하기도 전에<br>사격을 명중시킨 기록이 있는데<br>어떻게 하신 건가요？"""
un_064110_0150#0,"""어떻게 했느냐고 물으셔도<br>리사는 그저 눈으로 보고<br>쐈을 뿐이에요오."""
un_064110_0160#0,"""저기……？<br>눈으로 봤다니…… 무슨 뜻이죠？"""
un_064110_0170#0,"""리사는 싸울 때<br>레이더에 의지하지 않거든요오.<br>A.I.S를 탈 때도 똑같아요."""
un_064110_0180#0,"""이 눈으로 찾고<br>발견하면 쏠 뿐이에요오."""
un_064110_0190#0,"""설마 육안으로……！？"""
un_064110_0200#0,"""아니, 잠깐……<br>눈으로 찾아서 쏜다……<br>그렇군……"""
un_064110_0210#0,"""포톤 감지 속도가 아니라<br>카메라 구동 속도와 분석 능력을 높이면<br>같은 결과를 얻을 수 있을 거야……"""
un_064110_0220#0,"""그나저나 A.I.S는<br>아무래도 리사와 잘 맞지 않네요오.<br>적을 쏘는 감각이 없어요."""
un_064110_0230#0,"""그래, 카메라의 XHD 이미지 분석을<br>16밀리초 미만으로 고속화할 수 있다면<br>레이더 맵으로 넘겨서……"""
un_064110_0240#0,"""역시 적을 쏠 때는<br>직접 쏘고, 쏘고, 마구 쏘는 게<br>가장 좋으니까요오."""
un_064110_0250#0,"""포톤 감지와 함께 쓰면 지금보다<br>22% 이상 빠르고 정확하게 적을 탐지할 수 있어……<br>고마워요, 리사 씨！"""
un_064110_0260#0,"""어머, 어머, 어머.<br>참 별난 아가씨네요오."""
un_064110_0270#0,"""아, 참. 그런데 왜<br>아까 리사를 「모른다」고<br>대답하신 건가요오？"""
