name01#0,"""Сиерра"""
text01#0,"""Отлично!<br>А теперь я расскажу вам о<br><red>\""Shift Фотон Артах\""<c><br>способных менять стойки!<br>Это важно, так что слушайте<br>внимательно!"""
text02#0,"""При использовании Фотон Арта<br>во время активного действия<br>оружия <red>\""Shift Фотон Арта\"",<br>его эффект изменится на другой<c>!"""
text101#0,"""2-я задача: <yellow>Используйте Shift Фотон Арт 3 раза"""
text03#0,"""С использованием<br>Shift Фотон Арта<br>Ruf Konzert приобретёт эффект,<br>способный атаковать на дальние<br>расстояния."""
train_title#0,"""2-я задача: <yellow>Использовать Shift Фотон Арт 3 раза"""
tut_title#0,"""Shift Фотон Арты"""
text100#0,"""・Действие оружия <%PhotonArts><br>Сразу же Фотон Арт:<br><%WeaponAction> и <%PhotonArts>"""
text100_3b#0,"""・Действие оружия <%MainPaletteC><br>Сразу же Фотон Арт <%PhotonArts>"""
tut_win_title#0,"""Shift Фотон Арты"""
tut_win_text100#0,"""Оружие фантома способно активировать<br>Shift Фотон Арты, отличающиеся от основных<br>Фотон Артов. Активируются при использовании<br>Shift Фотон Артов сразу после обычных<br>Фотон Артов.<br><br>Это атака с другим эффектом отличающимся<br>от обычного, поэтому старайтесь использовать<br>её в зависимости от ситуации.<br><br><c ffff00>※Shift Фотон Арт нельзя активировать<br>при предварительной зарядке Фотон Артов.<c>"""
