name01#0,"""Сиерра"""
text01#0,"""Для начала мы приступим<br>к освоению <red>рода фантома<c>!"""
text02#0,"""Действие оружия фантома<br>называется <red>\""Phantom Shift\""<c>,<br>и его эффект различен<br>для каждого оружия!"""
text03#0,"""Действие оружия рода<br>фантома - <red>\""Photon Bullet\""<c>!<br>Давайте попробуем использовать<br><red>\""Photon Bullet\""<c>!"""
text101#0,"""2-я задача: <yellow>Ударьте врага с помощью действия оружия рода \""Photon Bullet\"""""
train_title#0,"""2-я задача: <yellow>Ударить врага с помощью действия оружия рода \""Photon Bullet\"""""
tut_title#0,"""Действие оружие рода"""
text100#0,"""・Ударить врага действием<br>оружия рода <%PhotonArts>"""
text100_3b#0,"""・Ударить врага действием<br>оружия рода <%MainPaletteC>"""
tut_win_title#0,"""Действие оружия рода фантома"""
tut_win_text100#0,"""Род фантома способен стрелять \""Photon Bullet\""<br>с помощью действия оружия, а также может<br>восстанавилвать PP при атаке на большом расстоянии.<br><br>Кроме того, зарядка оружия превращает её<br>в дальнюю атаку, благодаря чему<br>она становится мощной против групп врагов."""
