name01#0,"""シエラ"""
11_voice_train_04001#0,"""こんにちは！<br>ここでは「ファントムの基礎」に<br>ついて訓練しましょう。"""
text01#0,"""ファントムは、<red>華麗な回避と攻撃で<br>蝶のように舞い、蜂のように刺す<c>戦いが<br>コンセプトの新クラスです。"""
text02#0,"""まずはファントムの特徴の一つ<br><red>「ステルステックチャージ」<c>の<br>説明をしますね。"""
text03#0,"""ファントムは<br>テクニックをチャージすることで<br>特殊な移動が可能になります！"""
text04#0,"""それでは早速<br><red>テクニックをチャージしたままで<br>移動<c>してみましょう！"""
text101#0,"""課題１：<yellow>数秒間ステルステックチャージ状態になる"""
train_title#0,"""課題１：<yellow>数秒間ステルステックチャージ状態になる"""
tut_title#0,"""ステルステックチャージについて"""
text100#0,"""・<%SubPalette1>を押し続けテクニックをチャージ"""
text101#1,"""・<%SubPalette>を押し続けテクニックをチャージ"""
text102#0,"""サブパレットのアイコンを<br>タッチし続けチャージ"""
tut_win_title#0,"""『ステルステックチャージ』について"""
tut_win_text100#0,"""<br>ステルステックチャージについて説明します。<br>・テクニックチャージ開始時に一時的に<br>  無敵になります。<br>・テクニックチャージ中は、使用者の姿が<br>  透明になり、移動速度が上昇します。"""
