name01#0,"""Сиерра"""
text01#0,"""А сейчас мы перейдём к освоению<br><red>катаны фантома<c>!"""
text02#0,"""Shift катаны фантома - это<br>особая атака называемая<br><red>moving slash<c>"""
text03#0,"""Атакуйте врага с помощью<br><red>Shift катаны фантома<c>!"""
text101#0,"""4-я задача: <yellow>Атакуйте врага с действия оружия катаны фантома"""
train_title#0,"""4-я задача: <yellow>Атаковать врага с действия оружия катаны фантома"""
tut_title#0,"""Действие оружия катаны"""
text100#0,"""・Действие оружия катаны <%WeaponAction>"""
text100_3b#0,"""・Действие оружия катаны <%MainPaletteC>"""
tut_win_title#0,"""Действие оружия катаны"""
tut_win_text100#0,"""Катана фантома - боевое оружие, которое позволяет<br>уклоняясь наносить удары, то есть<br>вести полноценный бой от защиты.<br><br><c ffff00>※С заряженным действием оружия Shift Фотон Арт<br>нельзя активировать.<c>"""
