name01#0,"""Сиерра"""
text01#0,"""А сейчас мы перейдём к освоению<br><red>винтовки фантома<c>!"""
text02#0,"""При использовании Shift<br>Фотон Арта с винтовкой,<br>вы будете автоматически<br>создавать <red>\""Phantom Bits\""!"""
text03#0,"""Давайте попробуем <red>атаковать<br>врага с помощью \""Phantom Bits\""<c>!"""
text101#0,"""6-я задача: <yellow>Атакуйте врага с помощью действия оружия винтовки фантома"""
train_title#0,"""6-я задача: <yellow>Атаковать врага с помощью действия оружия винтовки фантома"""
tut_title#0,"""Действие оружия винтоки"""
text100#0,"""・Действие оружия винтовки <%PhotonArts>"""
text100_3b#0,"""・Действие оружия винтовки <%MainPaletteC>"""
tut_win_title#0,"""Действие оружия винтовки фантома"""
tut_win_text100#0,"""Винтовка фантома действием оружия может стрелять<br>\""Phantom Bits\"", чтобы поразить врагов<br>на дальней дистанции.<br><br>Также зарядив действие оружия можно выстрелить<br>мощным проникающим выстрелом."""
