name01#0,"""Сиерра"""
text01#0,"""А теперь вот ещё что попробуем!<br>Давайте попробуем <red>объеденить<br>базовый Фотон Арт и Shift<br>версии<c>!"""
text02#0,"""У Schwarze Katze базовый эффект<br>Фотон Арта имеет эффект ухода,<br>а Shift версия имеет эффект<br>приближения."""
text03#0,"""Прежде всего, давайте выполним<br><red>внезапную атаку приближения<br>с Shift Фото Артом, а сразу,<br>после этого, атакуем основным<br>Фотон Артом<c>!"""
text101#0,"""3-я задача: <yellow>3 раза выполните: Shift версию Schwarze Katze,<br>и следом базовый Фотон Арт"""
train_title#0,"""3-я задача: <yellow>3 раза выполнить: Shift версию Schwarze Katze,<br>и следом базовый Фотон Арт"""
tut_title#0,"""Атака после Shift версий Фотон Артов"""
text100#0,"""・Активация действия оружия <%PhotonArts><br>・Использовать Фотон Арт:<br><%WeaponAction> и <%PhotonArts><br>・Активировать другую<br>версию Фотон Арта"""
text100_3b#0,"""・Активация действия оружия <%MainPaletteC><br>・Использовать Фотон Арт <%PhotonArts><br>・Активировать другую<br>версию Фотон Арта"""
tut_win_title#0,"""『***』について"""
tut_win_text100#0,"""***について説明します。"""
