name01#0,"""Сиерра"""
text01#0,"""У вас хорошо вышло!<br>А сейчас мы узнаем на что<br>можно израсходовать шкалу Gear!"""
text02#0,"""Когда у вас есть хотя бы 50%<br>от вашей шкалы Gear'а фантома,<br>вы можете активировать<br>\""Phantom Time\""."""
text03#0,"""При активации Phantom Time,<br><red>вы временно становитесь<br>неуязвимым, и получаете<br>дополнительную неуязвимость<br>во время Step<c>."""
text04#0,"""Расход PP Фотон Артами и<br>техниками <red>также снизится<br>на 20%<c>, так что вы сможете<br>продолжать атаковать дальше!"""
text05#0,"""И это ещё не всё!<br>Пока у вас активирован<br>Phantom Time, вы можете<br>использовать сверхмощную<br>завершающую атаку под названием<br><red>\""Phantom Time Finish\""<c>!"""
text06#0,"""Активировать Phantom Time Finish<br>можно посредством <red>повторной<br>активации умения Phantom Time<br>во время его действия<c>."""
text07#0,"""Активируйте Phantom Time,<br>а затем <red>активируйте снова,<br>чтобы использовать<br>Phantom Time Finish<c>!"""
text101#0,"""9-я задача: <yellow>Активируйте Phantom Time и Phantom Time Finish"""
train_title#0,"""9-я задача: <yellow>Активировать Phantom Time и Phantom Time Finish"""
tut_title#0,"""ファントムタイムフィニッシュについて"""
text100#0,"""Из под-палитры:<br>① Активируйте Phantom Time<br>② Снова выберите Phantom Time<br>③ Активируйте Phantom Time Finish"""
text100_3b#0,"""Из под-палитры:<br>① Активируйте Phantom Time<br>② Снова выберите Phantom Time<br>③ Активируйте Phantom Time Finish"""
