name01#0,"""Сиерра"""
text01#0,"""Просто замечательно!"""
text02#0,"""Для фантома важно вести бой<br><red>с комбинацией базовых<br>Фотон Артов и их<br>Shift версий<c>!"""
text03#0,"""А теперь мы потренеруемся<br><red>Атаке техниками<c>!"""
text04#0,"""При использовании техники<br><red>с экипированным родом<br>автоматически вызывается<br>дополнительная атака<c>!"""
text101#0,"""3-я задача: <yellow>Атакуйте техникой врага с помощью рода"""
train_title#0,"""3-я задача: <yellow>Атаковать техникой врага с помощью рода"""
tut_title#0,"""Атака техниками"""
text100#0,"""・Техника для<br>атаки врага <%SubPalette1>"""
text101#1,"""・Техника для<br>атаки врага <%SubPalette>"""
text102#0,"""Нажмите на иконку под-палитры,<br>чтобы атаковать врага техникой."""
