11_voice_NPC_5021_102#0,"""요즘 아크스는 애용품 강화를<br>하려 하지 않는 자가 너무 많다!<br>나태하다고밖에 할 수 없군!"""
text02#0,"""목숨을 맡기는 무기의 강화…<br>그걸 소홀히 하고 싸울 수 있겠나?<br>아니, 절대 안 되지!\u3000어리석은 일이다!"""
text03#0,"""이런, 이야기하다 보니<br>또다시 불안이 고개를 드는군!<br>자네, 지금 당장 해 보고 오게!"""
text04#0,"""무엇을 하냐니, 뻔하지 않은가.<br>아이템 라보에서 애용품을 강화하게!<br>그라인더를 써서 강화하는 걸세!"""
text05#0,"""자, 어서 해 보고 오게!<br>그리 어려운 일은 아닐 걸세!<br>내 불안을 떨쳐 주게!"""
text100#0,"""『신세 무기 강화』에 대해"""
text101#0,"""「<c 00ffff>신세 무기<c>」는<br>아이템 라보에서 「아이템 강화」를 하면<br>강해집니다.<br><br>원하는 신세 무기에 재료가 될 무기를<br>여럿 합성해 「강화 EXP」를 모읍니다.<br><br>「강화 EXP」 게이지가 가득 차면<br>「<yellow>강화치<c>」가 올라 강해집니다."""
text102#0,"""신세 무기는 아이템 강화 1회마다<br>다음 비용이 필요합니다.<br><br><yellow>・재료가 될 다른 무기(최대 5개)<br>・그라인더 등의 소비 아이템<br>・메세타<c>"""
text103#0,"""재료로 쓰는 무기에 따라 합성 시<br>「강화 EXP」에 보너스가 붙습니다.<br><br><yellow>・재료 보너스<c><br>\u3000같은 카테고리・레어리티・이름이면 가산.<br><br><yellow>・강화 보너스<c><br>\u3000강화치가 +1 이상이면 가산."""
text104#0,"""신세 무기를 강화하면<br>「성공」 또는 「대성공」이 발생합니다.<br><br>「대성공」하면 평소보다 많은<br>강화 EXP를 얻을 수 있습니다.<br><br>※신세 무기 강화는 「실패」하지 않습니다."""
linewindow#0,"""『그라인더』를 획득했습니다."""
