un_061200_0001#0,"""A.P.242/2/21"""
un_061200_0010#0,"""Всем ARKS! Это будет сложно,<br>но это критический момент!<br>Давайте все вместе работать и делать всё возможное!"""
un_061200_0020#0,"""Фух.<br>Вот и всё уведомление<br>для флотилии."""
un_061200_0030#0,"""Хорошо постаралась, Ульк."""
un_061200_0040#0,"""Хорошо постаралась, Ульк.<br>Прибыл <%me>."""
un_061200_0050#0,"""О, добро пожаловать. Извини,<br>что прошу тебя выполнять всю<br>тяжелую работу."""
un_061200_0060#0,"""Мы сделаем столько, сколько<br>сможем, и сделаем всё возможное."""
un_061200_0070#0,"""В следующий раз я на каждый...<br>а? Что-то голова<br>закружилась..."""
un_061200_0080#0,"""Ульк!"""
un_061200_0090#0,"""Т-ты впорядке, Ульк?"""
un_061200_0100#0,"""Ахаха, всё хорошо, правда.<br>Спасибо, Тео."""
un_061200_0110#0,"""Не надо «ахаха»'ать мне.<br>Ты перерабатываешь."""
un_061200_0120#0,"""А... Так похоже?"""
un_061200_0130#0,"""Ты явно на пределе.<br>Если продолжишь в том же духе,<br>то ты и вправду свалишься!"""
un_061200_0140#0,"""Но если я не сделаю то,<br>что могу сделать прямо сейчас,<br>всё будет напрасно.<br>Я никак не могу отдыхать."""
un_061200_0150#0,"""...Да, я так думаю.<br>Хорошо, мы продолжим.<br>Я помогу всем, что у меня есть."""
un_061200_0160#0,"""О? Это в новинку.<br>Ты обычно пытаешься остановить<br>меня или замерзнуть."""
un_061200_0170#0,"""Хахаха... и вправду.<br>Раньше я попытался бы тебя<br>успокоить, или был бы<br>разочарован моей бесполезностью."""
un_061200_0180#0,"""Даже сейчас, у меня все ещё<br>много сомнений. Но когда я вижу,<br>как ты усердно работаешь,<br>у меня появляется желание<br>всячески поддержать тебя."""
un_061200_0190#0,"""Я на твоей стороне, Ульк.<br>Я так решил."""
un_061200_0200#0,"""Ээ, хехехе."""
un_061200_0210#0,"""А, ч-что?<br>Что не так, Ульк.<br>Ты в порядке?"""
un_061200_0220#0,"""В порядке, в порядке!<br>Скорее, я зарядилась энергией!<br>Тео, спасибо!"""
un_061200_0230#0,"""Это все очень мило,<br>но вы уверены,<br>что сейчас подходящее время,<br>чтобы заниматься таким?"""
un_061200_0240#0,"""И вправду."""
un_061200_0250#0,"""Не будь такой..."""
un_061200_0260#0,"""Подумайте о том, где вы...<br>Я не хочу вмешиваться, но вам<br>вдвоём стоит этим заниматься<br>в другом месте в тайне!"""
un_061200_0270#0,"""Ч-что ты имеешь в виду под этим!<br>Это не так, как будто я ревную<br>или что-то в этом роде!"""
un_061200_0280#0,"""Ахаха...<br>Извините-извините.<br>Я не хотела волновать всех.<br>Теперь все в порядке!"""
un_061200_0290#0,"""Вот и наш час славы!<br>Мы преодолеем это и отправимся<br>в лучшее будущее вместе!"""
