pr_064940_0010#0,"""Did you say... \""Angel\""?"""
pr_064940_0020#0,"""I did. That was one of the vast and powerful entities that NERV was created to eliminate. The enemies of all humanity...<br>We call them \""Angels\""."""
pr_064940_0030#0,"""There's no mistaking it...<br>That was the Sixth Angel."""
pr_064940_0040#0,"""B-but Misato, we've already destroyed that one..."""
pr_064940_0050#0,"""You have previous experience fighting that thing?"""
pr_064940_0060#0,"""Yes, it previously appeared in Tokyo-3. Shinji and Rei fought it together, and I can guarantee that they destroyed it back then."""
pr_064940_0070#0,"""Though as with all our battles, it cost us dearly."""
pr_064940_0080#0,"""These two fought it by themselves..."""
pr_064940_0090#0,"""This is impossible... It can't be back."""
pr_064940_0100#0,"""......"""
pr_064940_0110#0,"""Well, it would have been a piece of cake if Unit-02 and I were there."""
pr_064940_0120#0,"""I see what's happened. Just like Eva Unit-01, this Angel was embodied from people's feelings."""
pr_064940_0130#0,"""Just like the Eva? What do you mean?"""
pr_064940_0140#0,"""To follow on from what I was saying before, the Unit-01 that appeared in the Shop Area is a Phantom created by Ether particles."""
pr_064940_0150#0,"""There's a lot of things we don't yet know about Phantoms, but in general, an embodiment of something that already exists won't be a perfect recreation of it."""
pr_064940_0160#0,"""It's an embodiment of the image in someone's mind. Any blank spots where there's something they don't know have to be filled in somehow."""
pr_064940_0170#0,"""So what you're saying is, the fact that Unit-01 is different from how we remember it proves that it must be a Phantom."""
pr_064940_0180#0,"""Exactly right! You catch on quickly."""
pr_064940_0190#0,"""But why was it embodied in Oracle? Surely it would have appeared on Earth..."""
pr_064940_0200#0,"""My best guess is that ARKS heard of Evangelion during their missions on Earth."""
pr_064940_0210#0,"""We don't have anything like it here on Oracle, so it would have made a big impression."""
pr_064940_0220#0,"""The image in those ARKS' minds reacted with the Ether, and the result was this Phantom."""
pr_064940_0230#0,"""..."""
pr_064940_0240#0,"""I took the opportunity earlier to watch through our archived material on this subject. I have to say, I found it fascinating."""
pr_064940_0250#0,"""Anyway, moving on. That Angel before didn't have enough Ether concentration to maintain its huge mass, so it dissipated pretty quickly."""
pr_064940_0260#0,"""That's right! It vanished almost as soon as it appeared. Does that mean it's gone for good?"""
pr_064940_0270#0,"""No. The more times it appears, the more stable its Ether concentration becomes. Eventually, it'll be able to maintain itself for a long time."""
pr_064940_0280#0,"""A lot of people will have seen it when it appeared before, so their collective image of it will be that much stronger... Time isn't on our side."""
pr_064940_0290#0,"""So it's going to come back..."""
pr_064940_0300#0,"""If that Angel manages to stabilize, the ARKS ship will be in big trouble..."""
pr_064940_0310#0,"""Let's get some ARKS together and fight it."""
pr_064940_0320#0,"""We can use A.I.S. Vega to take it on."""
pr_064940_0330#0,"""If the Angel has the same capabilities as it did in the anime, it'll be a tough fight, even for A.I.S. Vega."""
pr_064940_0340#0,"""Oh, my..."""
pr_064940_0350#0,"""\""Angels can only be defeated by Eva Units.\""<br>That's the rule in the series, and we can expect this Phantom will follow it."""
pr_064940_0360#0,"""In other words, if you have an Evangelion on your side, you will stand a much greater chance against it."""
pr_064940_0370#0,"""Misato?"""
pr_064940_0380#0,"""Exactly. If we start preparing Unit-01 right away, it should be battle-ready by the time the Angel stabilizes."""
pr_064940_0390#0,"""Understood. ARKS will have our full cooperation in this operation."""
pr_064940_0400#0,"""You're really going to help?"""
pr_064940_0410#0,"""Of course. NERV's mission is to eliminate any and all Angels."""
pr_064940_0420#0,"""Misato, are we really going to fight this thing again? We don't even know anything about this world!"""
pr_064940_0430#0,"""Shinji..."""
pr_064940_0440#0,"""Listen to me, Shinji."""
pr_064940_0450#0,"""It's like you said before. We were brought to this world because there's something we have to do."""
pr_064940_0460#0,"""You mean, our mission is to use the Eva to destroy this recreated Angel?"""
pr_064940_0470#0,"""That's right. I believe this is our best chance to return to our own world."""
pr_064940_0480#0,"""You won't be on your own. ARKS will do everything they can to help, and I'll be supporting you."""
pr_064940_0490#0,"""...I understand. I'll give it a shot."""
pr_064940_0500#0,"""Thank you, Shinji."""
pr_064940_0510#0,"""Shinji..."""
pr_064940_0520#0,"""I'll protect you and the Eva with all my power."""
pr_064940_0530#0,"""Let's destroy that Angel together."""
pr_064940_0540#0,"""...<%me>. Right, thank you!"""
pr_064940_0550#0,"""Yeah, yeah. Can I get a word in edgeways here?"""
pr_064940_0560#0,"""While the great and powerful Shinji is off in his Eva fighting the Angel, what are me and First over there supposed to do?"""
pr_064940_0570#0,"""You want us to sing a song and do a stupid dance to cheer him on or something?"""
