msc_012300_5010#0,"""はっはっはっはっは。"""
msc_012300_0010#0,"""Мы обязаны этой победой вам.<br>Я хочу ещё раз поблагодарить вас."""
msc_012300_0020#0,"""Нет, мы победили, благодаря песне Надереф."""
msc_012300_0030#0,"""И... я не смогла бы её использовать без подсказки Манон."""
msc_012300_0040#0,"""Хотя угроза DOLLS ещё не полностью миновала..."""
msc_012300_0050#0,"""Это поможет немного успокоить Ритем-Сити."""
msc_012300_0060#0,"""Теперь настала наша очередь помогать.<br>Позвольте мне сотрудничать с Централом."""
msc_012300_0070#0,"""Что, правда?! Спасибо тебе большое!"""
msc_012300_0080#0,"""Я уже поговорила с Крофордом.<br>Надеюсь поработать с вами и в будущем."""
msc_012300_0090#0,"""Мы тоже!"""
msc_012300_0100#0,"""Чтож, наслаждайтесь вечеринкой."""
msc_012300_0110#0,"""今日は大いに盛り上がってくれ。"""
msc_012300_5030#0,"""さいこー"""
msc_012300_5040#0,"""よかったぞー"""
msc_012300_5050#0,"""あははは"""
msc_012300_0120#0,"""Великолепно..."""
msc_012300_0125#0,"""Вы хорошо спели."""
msc_012300_0130#0,"""Да ладно тебе.<br>Я не очень хорошо пою перед толпой."""
msc_012300_0140#0,"""А обычно ведёшь себя так достойно."""
msc_012300_0150#0,"""Ха-ха."""
msc_012300_0160#0,"""Ха-ха."""
msc_012305_0170#0,"""Приходите ещё.<br>Не важно в какое время."""
msc_012305_0180#0,"""Вы нам очень помогли."""
msc_012305_0190#0,"""Обязательно ещё встретимся!"""
msc_012305_0200#0,"""Мы будем ждать вас!"""
msc_012305_0210#0,"""Х-хорошо, спасибо."""
msc_012305_0220#0,"""Приходите ещё послушать меня."""
msc_012305_0230#0,"""Ну что, вернёмся в Централ-Сити!"""
