name_7010#0,"""Nadereh"""
name_7034#0,"""Lucia"""
msn_041090_0010#0,"""มาแล้วสินะ ที่นี่คือสถานที่ที่เมื่อก่อนฉันมาบ่อยๆ น่ะ"""
msn_041090_0020#0,"""สมัยที่เพิ่งได้เป็น Leader ของ Retem ใหม่ๆ... ถึงจะสับสนจนต้องหยุดเดิน<br>แต่ก็ยังต้องก้าวต่อไปข้างหน้า ในตอนนั้นน่ะนะ"""
msn_041090_0030#0,"""เป็นที่ที่สวยจังเลยนะ...<br>แต่ลมแรงจัง รู้สึกเหมือนจะโดนพัดปลิวไปเลย"""
msn_041090_0040#0,"""นั่นสินะ ลมนี้มันจะพัดพาเอาหลายๆ สิ่งไป<br>ทั้งความลังเล หรือแม้แต่ความเจ็บปวด"""
msn_041090_0050#0,"""พอได้ยินคำพูดของเธอแล้ว ก็ทำให้ฉันนึกขึ้นมาได้น่ะ<br>ว่าเมื่อก่อนฉันเองก็เคยคิดว่าตัวเองนั้น 【 ว่างเปล่า 】 เหมือนกัน"""
msn_041090_0060#0,"""ว่างเปล่า...? คุณเองก็ด้วยเหรอ?"""
msn_041090_0070#0,"""อา ตอนเด็กๆ ฉันเติบโตมาใต้การเลี้ยงดูของท่านแม่ที่เป็น Leader ของ Retem<br>เลยเชื่อมาตลอดว่าตัวเองก็คงจะมีพลังแห่ง 【 เสียงเพลง 】 ที่จะคอยชี้นำผู้คนได้เหมือนกับท่านแม่"""
msn_041090_0080#0,"""...แต่ทว่า พอฉันได้ขึ้นมาเป็น Leader<br>ฉันถึงได้รู้ว่า พลังที่สืบทอดกันมาในตระกูลนั้น ฉันไม่มีมันเลย"""
msn_041090_0090#0,"""ฉันรู้สึกเหมือนกับว่าจู่ๆ ตัวเองก็ว่างเปล่าไปเลย<br>ถึงกับเครียดเลยว่าตัวเองสมควรจะเรียกตัวเองว่า Leader หรือเปล่า"""
msn_041090_0100#0,"""ทั้งที่คิดแบบนั้น...<br>แล้วทำไมถึงกลับมาก้าวเดินต่อไปข้างหน้าได้ล่ะ?"""
msn_041090_0110#0,"""แน่นอนว่ามันไม่ได้คำตอบในทันทีหรอกนะ แต่ฉันก็เชื่อว่าถึงจะทำได้ไม่เหมือนกับท่านแม่<br>ฉันก็ต้องมีหนทางในแบบของตัวเองสิ แล้วก็พยายามตามหามาตลอด"""
msn_041090_0120#0,"""ฝึกฝนพลัง คอยรับฟังเสียงของผู้คน... พอทำแบบนั้นไปเรื่อยๆ<br>ก็เริ่มมีประชาชนที่เชื่อใจฉันเพิ่มขึ้นมาอย่างไม่รู้ตัวเลยล่ะ"""
msn_041090_0130#0,"""พอรู้ตัวอีกที ฉันก็สามารถมายืนอยู่ต่อหน้าทุกคนในฐานะ Leader<br>ได้อย่างภาคภูมิใจแล้วล่ะ"""
msn_041090_0140#0,"""Nadereh ก้าวมาข้างหน้าได้อย่างสง่างามเลยล่ะ"""
msn_041090_0150#0,"""ทุกคนก็เชื่อใจ Nadereh ด้วย"""
msn_041090_0160#0,"""หึ... ถ้ามองเห็นแบบนั้น ก็ดีใจแล้วล่ะ"""
msn_041090_0170#0,"""และพอได้พบกับพวกเธอ ได้ต่อสู้ร่วมกัน<br>ฉันก็เลยรู้ถึงพลังที่หลับใหลอยู่ภายในตัวด้วย ต้องขอบคุณพวกเธอเลยนะ"""
msn_041090_0180#0,"""ขอบใจนะ<br>พอโดนพูดแบบนั้นแล้ว ค่อยรู้สึกดีขึ้นมาหน่อย"""
msn_041090_0190#0,"""เป็นเพราะตอนนั้นพวกเธอให้ยืมพลังนั่นแหละ ถึงได้รู้ถึงพลังภายใน<br>แล้วก็สามารถช่วยเหลือผู้คนเอาไว้ได้ ต้องขอบใจจริงๆ"""
msn_041090_0200#0,"""...Lucia การทวงความทรงจำคืนมาได้มันก็ไม่ใช่เรื่องแย่อะไรหรอกนะ<br>เพราะนั่นคงเป็นความปรารถนาที่สำคัญของเธอด้วย"""
msn_041090_0210#0,"""แต่ว่า ฉันไม่คิดหรอกนะว่าสิ่งสำคัญ<br>มันจะมีอยู่แค่ในอดีตที่สูญหายไปเท่านั้นน่ะ"""
msn_041090_0220#0,"""ต่อให้มันจะมีแค่เพียงนิดเดียว แต่สิ่งที่มีอยู่ในตัวเธอตอนนี้ มันก็คือส่วนหนึ่งของเธอเหมือนกันนะ<br>และยิ่งไปกว่านั้น ข้างๆ เธอยังมีคนที่พร้อมจะก้าวเดินไปกับเธออยู่นะ"""
msn_041090_0230#0,"""...นั่นสินะ<br>สิ่งที่มีอยู่ในตัวฉันในตอนนี้..."""
msn_041090_0240#0,"""หลังจากนี้ไป ก็คงจะมีเรื่องให้ร้อนใจ หรือมีเวลาที่ต้องหยุดเดินบ้างแหละ<br>ถ้าเป็นแบบนั้น ก็ให้นึกถึงเรื่องของฉันในวันนี้เอาไว้นะ"""
msn_041090_0250#0,"""ขอให้มีสายลมที่ดีพัดพาไปสู่จุดหมายที่พวกเธอจะไปนะ<br>ฉันกับผู้คนในเมือง จะขอภาวนาให้แบบนั้นล่ะ"""
