name_7002#0,"""Aina"""
name_7001#0,"""Manon"""
name_7034#0,"""Lucia"""
msn_041040_0010#0,"""Lucia มาอยู่ที่นี่เองเหรอ!<br>จู่ๆ ก็วิ่งพรวดพราดออกไปแบบนั้น เป็นห่วงแทบแย่เลยนะ"""
msn_041040_0020#0,"""...ความจริง ปล่อยฉันไว้ก็ได้แท้ๆ"""
msn_041040_0030#0,"""แต่ว่าลึกๆ ในใจแล้ว<br>ก็อยากให้ใครสักคนมาเจอใช่ไหมล่ะ?"""
msn_041040_0040#0,"""ถ้าไม่อยากให้ใครมาเจอจริงๆ ก็คงจะหนีไปให้ไกลกว่านี้แล้วล่ะ<br>...เพราะเมื่อก่อนฉันก็เคยเป็นแบบนั้นเหมือนกัน"""
msn_041040_0050#0,"""ไม่ใช่อย่างนั้น...สักหน่อย!<br>...ไม่สิ ก็คงจะจริงละมั้ง"""
msn_041040_0060#0,"""ตอนที่มาเมืองนี้ ฉันก็แอบหวังอยู่นิดๆ นะ<br>ว่าถ้ามีคนเยอะขนาดนี้ อาจจะพอหาเบาะแสความทรงจำได้บ้าง"""
msn_041040_0070#0,"""แต่ว่า... ทั้งที่มองดูวิวของเมือง หรือดูผู้คนที่เดินผ่านไปมา<br>ฉันกลับนึกอะไรไม่ออกเลย"""
msn_041040_0080#0,"""Lucia..."""
msn_041040_0090#0,"""ฉันต้องนึกให้ออกสิ<br>ว่าก่อนที่ความทรงจำจะหายไป ฉันตั้งใจจะทำอะไรที่นั่นกันแน่"""
msn_041040_0100#0,"""ถ้ามันเป็น 【 ภารกิจ 】 ก็ต้องทำให้สำเร็จสิ<br>แต่ว่า... กลับต้องมาหยุดอยู่กับที่แบบนี้น่ะเหรอ!"""
msn_041040_0110#0,"""ไปตามหากันเถอะ"""
msn_041040_0120#0,"""ไม่ต้องฝืนทำอะไรคนเดียวหรอกนะ"""
msn_041040_0130#0,"""...อึก อะไรของพวกเธอเนี่ย"""
msn_041040_0140#0,"""พูดแบบนั้น เดี๋ยวฉันก็เผลอคาดหวังอีกหรอก..."""
msn_041040_0150#0,"""...ทั้งที่คิดมาตลอด ว่าต้องพยายามด้วยตัวเองคนเดียวแท้ๆ"""
msn_041040_0160#0,"""โดนพูดใส่แบบนี้ ก็อวดเก่งไม่ออกแล้วน่ะสิ..."""
msn_041040_0170#0,"""อย่างที่ <%me> บอกนั่นแหละ<br>พวกเราอยากจะเป็นกำลังให้กับ Lucia นะ"""
msn_041040_0180#0,"""ต่อให้หาเบาะแสในเมืองนี้ไม่เจอ ก็ไม่เห็นเป็นไรเลยนี่นา<br>ลองไปที่ Region อื่นกันเถอะ! ไปด้วยกันกับพวกเราไง!"""
msn_041040_0190#0,"""Crawford ก็บอกแล้วนี่นา ว่าถึงตอนนี้จะโดนจำกัดบริเวณ<br>แต่ถ้าเรื่องของคุณกระจ่างขึ้น ก็อาจจะเปลี่ยนการตัดสินใจก็ได้นะ"""
msn_041040_0200#0,"""หนทางจะต้องเปิดออกแน่นอน มาค่อยๆ ก้าวไปข้างหน้าด้วยกันเถอะ"""
msn_041040_0210#0,"""...อะไรกันเนี่ย ทุกคนทำเหมือนกับว่ามารับฉันเป็นเรื่องปกติเลยนะ<br>มาดึงมือแล้วบอกให้ไปด้วยกันเนี่ย"""
msn_041040_0220#0,"""อยากจะบอกว่าอย่ามาตัดสินใจเอาเองแท้ๆ...<br>แต่กลายเป็นว่าพูดไม่ออกซะงั้น"""
msn_041040_0230#0,"""แต่ก็... ขอบใจนะ รู้สึกสบายใจขึ้นมานิดหน่อยแล้วล่ะ"""
msn_041040_0240#0,"""จะลองพยายามดูอีกสักหน่อยก็แล้วกัน<br>ไปพร้อมๆ กับพวกเธอนั่นแหละ"""
