msc_041020_0010#0,"""ไง พวกเธอมากันแล้วสินะ"""
msc_041020_0020#0,"""อึก...!<br>ทำไมคนที่อยู่ใน Alter Realm ถึงมาอยู่ที่นี่ได้ล่ะ...!?"""
msc_041020_0030#0,"""...ไม่สิ ไม่ใช่<br>ความรู้สึกนี้... ไม่ใช่หมอนั่นนี่นา"""
msc_041020_0040#0,"""เธอคือ Lucia สินะ<br>ถ้าทำให้ตกใจก็ต้องขอโทษด้วย"""
msc_041020_0050#0,"""ฉันคือ Crawford ไม่ใช่ 【 ฉัน 】 ที่พวกเธอเจอใน Alter Realm หรอกนะ<br>ฉันคือตัวจริง เป็นผู้นำของ Central City แห่งนี้น่ะ"""
msc_041020_0060#0,"""ก่อนอื่นเลย ฉันอยากจะขอบคุณพวกเธอสำหรับภารกิจก่อนหน้านี้<br>ถึงแม้ว่ามันจะเป็นภารกิจที่อันตราย แต่พวกเธอก็กลับมาได้อย่างปลอดภัย"""
msc_041020_0070#0,"""แต่ว่า... พวกเราช่วยหน่วยสำรวจไว้ไม่ได้เลย..."""
msc_041020_0080#0,"""เรื่องนั้น เป็นเพราะฉันคาดการณ์ได้ไม่ดีเองแหละ ฉันส่งพวกเขาไปยังที่แห่งนั้น<br>ก่อนที่จะตรวจสอบความผิดปกติของ Alter Realm ให้ดีพอ มันเป็นความรับผิดชอบของฉันเอง"""
msc_041020_0090#0,"""ฉันได้อ่านรายงานของพวกเธอแล้วล่ะ<br>สิ่งที่โจมตีหน่วยสำรวจคือ Starless ที่เลียนแบบรูปร่างของพวกเขา แล้วก็..."""
msc_041020_0100#0,"""...ในนั้น มี 【 คนที่รูปร่างหน้าตาเหมือนฉัน 】 อยู่ด้วยสินะ"""
msc_041020_0110#0,"""พูดตามตรงนะ... วินาทีที่ได้ฟังรายงานนั้น<br>ฉันรู้สึกหวาดกลัวและรังเกียจมากเลยล่ะ"""
msc_041020_0120#0,"""เหมือนกันเป๊ะเลยล่ะ"""
msc_041020_0130#0,"""ดูแตกต่างจากตัวจริงนิดหน่อยนะ"""
msc_041020_0140#0,"""งั้นเหรอ... ขนาดเธอเป็นคนดูเอง<br>ยังแยกแทบไม่ออกขนาดนั้นเลยสินะ"""
msc_041020_0150#0,"""เข้าใจล่ะ ถ้าเป็นคนที่ใกล้ชิดล่ะก็<br>คงจะพอรู้สึกถึงความแตกต่างได้บ้างสินะ..."""
msc_041020_0160#0,"""ศัตรูที่เลียนแบบรูปร่างของ ARKS...<br>เป้าหมายของพวกมันคืออะไรกันแน่นะ"""
msc_041020_0170#0,"""สมมติว่า เราเรียกพวกมันว่า 【 ตัวเลียนแบบ 】 ก็แล้วกัน ตัว Starless เอง<br>ตั้งใจจะทำอะไรกับการใช้ตัวเลียนแบบนี้ พวกเราก็ยังไม่รู้เหมือนกัน"""
msc_041020_0180#0,"""แต่ว่า ภัยคุกคามใหม่เริ่มเคลื่อนไหวแล้วอย่างแน่นอน<br>พวกเราจำเป็นต้องรับมืออย่างระมัดระวังให้มากกว่าที่เคย"""
msc_041020_0190#0,"""เอาล่ะ... มีอีกเรื่องนึง วันนี้ฉันมีเรื่องอยากจะบอกพวกเธอเอาไว้<br>เป็นเรื่องของ Lucia น่ะ"""
msc_041020_0200#0,"""เรื่องของฉันเหรอ?"""
msc_041020_0210#0,"""อา หลังจากนี้ ให้ Faria เป็นคนอธิบายก็แล้วกัน<br>ฝากด้วยนะ?"""
msc_041020_0220#0,"""ค่ะ เข้าใจแล้วค่ะ"""
msc_041020_0230#0,"""หลังจากที่พวกคุณกลับมาจากภารกิจที่ Alter Realm<br>ทางเราก็ได้ทำการตรวจสอบเกี่ยวกับ Lucia ค่ะ"""
