name_7010#0,"""Nadereh"""
name_7034#0,"""Lucia"""
msn_041070_0010#0,"""ได้ยินเรื่องราวมาจาก Crawford แล้วล่ะ<br>เด็กคนนี้สินะ ที่กำลังตามหาความทรงจำอยู่"""
msn_041070_0020#0,"""ฉันคือ Nadereh<br>เป็น Leader ของ Retem City แห่งนี้"""
msn_041070_0030#0,"""...ฉัน Lucia นะ ฝากตัวด้วย"""
msn_041070_0040#0,"""Lucia เรื่องของเธอน่ะ จากข้อมูลที่ได้มาจาก Crawford<br>ฉันลองไปถามคนในเมืองดูแล้วล่ะ ว่ามีใครคุ้นหน้าบ้างไหม"""
msn_041070_0050#0,"""...แต่โชคร้ายหน่อยนะ ดูเหมือนจะไม่มีใครเคยเห็นเธอเลย"""
msn_041070_0060#0,"""ตัวฉันเองก็จำหน้าตาของผู้คนใน Retem ได้แทบทุกคน แต่ก็ไม่คุ้นหน้าเธอเลยเหมือนกัน<br>อุตส่าห์เดินทางมาตั้งไกลแท้ๆ ขอโทษด้วยนะที่ช่วยอะไรไม่ได้เลย"""
msn_041070_0070#0,"""งั้นเหรอ...<br>ถึงจะเตรียมใจไว้แล้วว่ามันคงหาไม่เจอได้ง่ายๆ ก็เถอะ"""
msn_041070_0080#0,"""แต่พอโดนตอกย้ำอีกครั้งว่าตัวเองนั้นว่างเปล่า...<br>มันก็อดรู้สึกแย่ไม่ได้อยู่ดีแฮะ"""
msn_041070_0090#0,"""...ว่างเปล่า งั้นเหรอ"""
msn_041070_0100#0,"""พวกเธอ ช่วยไปกับฉันหน่อยได้ไหม?<br>มีสถานที่ที่อยากจะให้เด็กคนนี้ดูน่ะ"""
msn_041070_0110#0,"""ถ้าเตรียมตัวเสร็จแล้ว ก็มาที่ชายฝั่งทางตอนใต้ของ South Retem นะ"""
