msc_041190_0010#0,"""ทุกคน มากันแล้วสินะ"""
msc_041190_0020#0,"""พอดีกำลังเชื่อมต่อสัญญาณกับ Ilma อยู่เลยค่ะ<br>เชิญทางนี้เลยค่ะ"""
msc_041190_0030#0,"""ไง ทุกคน ไม่ได้เจอกันนานเลยนะ<br>ขอโทษที่ติดต่อไปกะทันหันนะ แต่มีเรื่องที่อยากจะคุยกับทุกคนให้ได้น่ะ"""
msc_041190_0040#0,"""ก่อนอื่น อยากให้ดูนี่ก่อน<br>เป็นภาพที่ถ่ายได้ที่เขตทะเลระหว่าง Aelio กับ Kvaris เมื่อวันก่อนน่ะ"""
msc_041190_0050#0,"""นี่มันอะไรเนี่ย...? เหมือนกับน้ำทะเลมันยุบหายไปเลย"""
msc_041190_0060#0,"""ดูเหมือนจะไม่ใช่แค่พื้นทะเลทรุดตัวธรรมดานะ<br>มันกำลังดูดกลืนสิ่งรอบข้างเข้าไปด้วยเหรอ...?"""
msc_041190_0070#0,"""ใช่แล้วล่ะ<br>หลุมนี้กำลังย่อยสลายวัตถุรอบๆ แล้วดูดกลืนเข้าไปน่ะ"""
msc_041190_0080#0,"""ตอนแรกก็คิดว่าเป็นแค่การเคลื่อนตัวของเปลือกโลกนะ<br>แต่พอไปตรวจดูที่เกิดเหตุ ก็ตรวจพบปฏิกิริยาพลังงานที่ผิดปกติ"""
msc_041190_0090#0,"""แถมยัง... เป็นพลังงานชนิดเดียวกับ<br>ที่เคยตรวจพบใน Alter Realm เมื่อก่อนหน้านี้ด้วยนะ"""
msc_041190_0100#0,"""Lucia? เป็นอะไรไปเหรอ?"""
msc_041190_0110#0,"""...ไม่รู้สิ<br>แต่พอดูนี่แล้ว... รู้สึกว้าวุ่นใจยังไงไม่รู้"""
msc_041190_0120#0,"""เหมือนกับว่าฉันรู้จักเจ้านี่...<br>แต่ก็ไม่อยากนึกถึงมัน... ความรู้สึกแบบนั้นแหละ"""
msc_041190_0130#0,"""รู้จักงั้นเหรอ... Lucia น่ะเหรอ?"""
msc_041190_0140#0,"""ขอโทษนะ... ไม่ใช่ว่าจะนึกออกชัดเจนหรอก<br>แค่รู้สึกแย่มากๆ ก็แค่นั้นเอง"""
msc_041190_0150#0,"""เอาเป็นว่า หลุมนี้... ขอเรียกว่า 【 Abduction Hole 】 ก็แล้วกัน<br>ตอนนี้มันก็ยังคงดูดน้ำทะเลและอากาศรอบๆ เข้าไปอย่างต่อเนื่องเลยล่ะ"""
msc_041190_0160#0,"""ถ้าปล่อยทิ้งไว้ อาจส่งผลกระทบไปทั่วทั้ง Halpha ได้นะ<br>ต้องรีบหาวิธีรับมือแล้วล่ะ"""
msc_041190_0170#0,"""แต่ว่า ของแบบนั้น จะไปหยุดมันได้ยังไงล่ะ?"""
msc_041190_0180#0,"""การที่เป็นพลังงานชนิดเดียวกับที่พบใน Alter Realm<br>มีความเป็นไปได้สูงมากที่ Abduction Hole จะมีส่วนเกี่ยวข้องกับพวก Starless น่ะ"""
msc_041190_0190#0,"""ช่วงเวลาที่ปรากฏก็ตรงกับช่วงที่ Alter Realm โผล่มาพอดี ถ้าเป็นแบบนั้น<br>ก็น่าจะคิดได้ว่าเบาะแสในการรับมือน่าจะอยู่ในดินแดนแห่งนั้นล่ะนะ"""
msc_041190_0200#0,"""ถูกครึ่งนึง<br>สมแล้วที่เป็น 【 Original 】 ของฉัน"""
msc_041190_0210#0,"""ตัวปลอมตอนนั้นนี่...!"""
msc_041190_0220#0,"""เข้ามาที่นี่ได้ยังไง?"""
msc_041190_0230#0,"""แหมๆ ต้อนรับกันซะอบอุ่นเลยนะ"""
msc_041190_0240#0,"""ไม่รู้หรือไง?<br>สำหรับพวกฉันแล้ว ระยะห่างของมิติมันไม่มีความหมายหรอกนะ"""
msc_041190_0250#0,"""เจอกันอีกแล้วนะ Guardian<br>อย่าเพิ่งระแวงกันสิ วันนี้ก็แค่มาดูลาดเลาน่ะ"""
msc_041190_0260#0,"""...แกคือ Starless ที่พวก <%me><br>ไปเจอมาที่ Alter Realm สินะ"""
msc_041190_0270#0,"""Starless งั้นเหรอ พวกเธอเรียกกันแบบนั้นสินะ<br>...เอาเถอะ จะยอมใช้ชื่อนั้นเรียกตัวเองให้เข้ากับพวกเธอหน่อยก็แล้วกัน"""
msc_041190_0280#0,"""เอาล่ะ พวกเธอไม่สนใจเหรอ? ว่าตัวจริงของหลุมนั่นคืออะไร<br>แล้วกำลังจะเกิดอะไรขึ้นกับ Halpha แห่งนี้น่ะ"""
msc_041190_0290#0,"""อึก... รู้อะไรมางั้นเหรอ?"""
msc_041190_0300#0,"""จะให้คำใบ้กับพวกเธอที่น่าสงสารก็แล้วกันนะ<br>ก็ตามที่ 【 ฉัน 】 ตรงนั้นคาดการณ์ไว้นั่นแหละ คำตอบอยู่ในดินแดน Alter Realm"""
msc_041190_0310#0,"""ในหอคอยทั้ง 3 ที่พวกเรา 【 Three Shadow Heroes 】 ปกป้องอยู่น่ะ"""
msc_041190_0320#0,"""Three Shadow Heroes..."""
msc_041190_0330#0,"""หอคอยทั้ง 3 งั้นเหรอ...?"""
msc_041190_0340#0,"""ถ้ามาที่นั่นแล้วจะบอกให้ก็แล้วกัน<br>ความลับของหลุมนั่นน่ะ"""
