name_7002#0,"""Aina"""
name_7022#0,"""Kanui"""
name_7034#0,"""Lucia"""
msn_041160_0010#0,"""ที่นี่คืออะไรเหรอ?<br>มีของขยับเต็มไปหมดเลย..."""
msn_041160_0020#0,"""ที่นี่คือโรงงานผลิต DOLLS ที่เป็นศัตรูของพวกเราค่ะ"""
msn_041160_0030#0,"""...ตอนนี้มันก็ยังคงทำงานอยู่ และคอยผลิต DOLLS ออกมาอย่างนับไม่ถ้วนเลยค่ะ"""
msn_041160_0040#0,"""ทำไมถึงไม่ทำลายทิ้งล่ะ?<br>ปล่อยโรงงานแบบนั้นเอาไว้มันอันตรายไม่ใช่เหรอ"""
msn_041160_0050#0,"""ความจริงก็อยากทำแบบนั้นแหละค่ะ แต่ว่า... ที่นี่น่ะ<br>มันรวมเป็นส่วนหนึ่งกับ Energy Plant ที่คอยหล่อเลี้ยงทั้ง Halpha อยู่น่ะค่ะ"""
msn_041160_0060#0,"""ถ้าทำลายทิ้ง ระบบหล่อเลี้ยงชีวิตของ Halpha เองก็จะหยุดทำงาน<br>ซึ่งอาจก่อให้เกิดความเสียหายอย่างใหญ่หลวงได้ค่ะ"""
msn_041160_0070#0,"""งั้น... พวกเธอก็ต้องสู้กับพวกที่เรียกว่า DOLLS<br>ไปตลอดเลยงั้นเหรอ?"""
msn_041160_0080#0,"""ค่ะ ตอนนี้คงทำได้แค่ต้องสู้ต่อไปเท่านั้น แต่พวกเรายังไม่ถอดใจหรอกนะคะ<br>ทุกคนใน Halpha กำลังร่วมกันหาวิธีที่จะจบเรื่องนี้อยู่ค่ะ"""
msn_041160_0090#0,"""เอาล่ะ หัวหน้าอยู่ข้างหน้านี้แล้วค่ะ เชิญทางนี้เลยค่ะ"""
