name_7002#0,"""Aina"""
name_7034#0,"""Lucia"""
name_7004#0,"""Crawford"""
name_7001#0,"""Manon"""
msn_041180_0010#0,"""ตระเวนไปทั่วทุก Region แล้ว แต่ก็ไม่เจอเบาะแสความทรงจำเลยเนอะ<br>...Lucia ไม่เป็นไรใช่ไหม?"""
msn_041180_0020#0,"""ถึงอย่างนั้น ฉันก็คิดว่ามันไม่สูญเปล่าหรอกนะ ถึงความทรงจำจะยังว่างเปล่าอยู่ก็เถอะ...<br>แต่อย่างน้อยตอนนี้ ฉันก็รู้สึกว่าไม่ได้อยู่ตัวคนเดียวอีกแล้วล่ะ"""
msn_041180_0030#0,"""Lucia... อื้อ มาพยายามไปด้วยกันเถอะ!"""
msn_041180_0040#0,"""ขอโทษที่ขัดจังหวะนะ<br>ฉันมีเรื่องด่วนอยากจะแจ้งให้พวกเธอทราบ"""
msn_041180_0050#0,"""Crawford! มีเรื่องอะไรเหรอ?"""
msn_041180_0060#0,"""ได้รับรายงานด่วนจาก Ilma ที่กำลังสำรวจอยู่ที่ Kvaris น่ะ<br>เป็นเรื่องเกี่ยวกับ 【 ความผิดปกติ 】 บางอย่าง"""
msn_041180_0070#0,"""รายละเอียดไว้มาถึงที่นี่แล้วฉันจะบอกอีกที<br>โทษทีนะ แต่ช่วยมาให้เร็วที่สุดเท่าที่จะทำได้ที ฝากด้วยล่ะ"""
msn_041180_0080#0,"""ความผิดปกติที่ว่านี่ มันเรื่องอะไรกันนะ"""
msn_041180_0090#0,"""ดูเหมือนจะไม่ใช่เรื่องเล็กๆ แล้วสิ รีบไปที่ห้องบัญชาการกันเถอะ"""
