name_7002#0,"""Aina"""
name_7022#0,"""Kanui"""
name_7034#0,"""Lucia"""
msn_041150_0010#0,"""ยินดีต้อนรับค่ะ<br>ฉันได้รับข้อความจาก Crawford แล้วว่าพวกคุณจะมา"""
msn_041150_0020#0,"""คนที่อยู่ตรงนั้นคือ... คุณ Lucia สินะคะ?<br>ยินดีที่ได้รู้จักค่ะ ฉันชื่อ Kanui เป็นรองผู้บัญชาการของหน่วยแนวหน้าแห่ง Stia ค่ะ"""
msn_041150_0030#0,"""หวังว่าดินแดน Stia แห่งนี้<br>จะเป็นส่วนช่วยในการตามหาความทรงจำของคุณนะคะ"""
msn_041150_0040#0,"""อื้อ... ขอบใจนะ"""
msn_041150_0050#0,"""มาหา Glen น่ะ"""
msn_041150_0060#0,"""มาหา Kanui น่ะ"""
msn_041150_0070#0,"""ต้องขอโทษด้วยนะคะ แต่ตอนนี้หัวหน้าออกไปลาดตระเวนอยู่ค่ะ<br>หมู่นี้พวก DOLLS เคลื่อนไหวกันหนักขึ้น หัวหน้าก็เลยอยากไปตรวจดูสถานการณ์น่ะค่ะ"""
msn_041150_0080#0,"""ฟุฟุ รู้สึกเป็นเกียรติจังเลยค่ะ แต่จริงๆ แล้วตั้งใจจะมาหาหัวหน้า Glen ใช่ไหมคะ?"""
msn_041150_0090#0,"""ตอนนี้หัวหน้ากำลังทำภารกิจลาดตระเวนอยู่ค่ะ<br>หมู่นี้พวก DOLLS เคลื่อนไหวกันหนักขึ้น ก็เลยไปตรวจดูสถานการณ์น่ะค่ะ"""
msn_041150_0100#0,"""ถ้าไม่รังเกียจ ให้ฉันนำทางไปเอาไหมคะ?<br>ที่ที่หัวหน้าไปก็อยู่ไม่ไกลจากตรงนี้เท่าไหร่ด้วย"""
msn_041150_0110#0,"""ขอบคุณนะ! ถ้ามี Kanui ไปด้วยก็อุ่นใจขึ้นเยอะเลยล่ะ"""
