name_7002#0,"""Aina"""
name_7001#0,"""Manon"""
name_7004#0,"""Crawford"""
name_7013#0,"""Ilma"""
msn_041200_0010#0,"""...ขอโทษด้วย ปล่อยมันหนีไปซะได้"""
msn_041200_0020#0,"""การตัดสินใจของ Crawford ไม่ผิดหรอกนะ<br>เพราะงั้นถึงไม่มีใครได้รับบาดเจ็บยังไงล่ะ"""
msn_041200_0030#0,"""อื้อ การปะทะกันที่นี่อาจจะนำไปสู่ผลลัพธ์ที่เลวร้ายที่สุดก็ได้<br>ถ้าฉันอยู่ในจุดเดียวกับคุณ ฉันก็คงเลือกแบบเดียวกันแหละ"""
msn_041200_0040#0,"""ทุกคน ได้ยินไหม?<br>เจ้านั่นคือ Starless ที่โจมตีหน่วยสำรวจสินะ... ดูรับมือยากน่าดูเลยแฮะ"""
msn_041200_0050#0,"""พอลองตรวจดูจากคำใบ้ของเจ้านั่น ก็ตรวจพบปฏิกิริยาพลังงานแบบเดียวกับ Abduction Hole<br>ออกมาจาก Dimension Ripper ที่ Kvaris ด้วยล่ะ"""
msn_041200_0060#0,"""ดินแดนที่อยู่ปลายทางเมื่อผ่านตรงนั้นไป น่าจะมีหอคอยที่เจ้านั่นพูดถึงอยู่นะ"""
msn_041200_0070#0,"""เข้าใจแล้ว ขอบใจนะ Ilma"""
msn_041200_0080#0,"""...ต้องขอรบกวนพวกเธออีกครั้งแล้วล่ะ<br>ช่วยมุ่งหน้าไปยัง Alter Realm ที่เชื่อมต่อจาก Kvaris แล้วตามหาหอคอยให้ทีนะ"""
msn_041200_0090#0,"""คนที่จะหาเบาะแสเพื่อหยุดยั้ง Abduction Hole ได้ มีแค่พวกเธอเท่านั้นแหละ<br>ฝากด้วยนะ Guardian"""
msn_041200_0100#0,"""อื้อ ไว้ใจได้เลย"""
msn_041200_0110#0,"""แล้วก็ Abduction Hole น่ะ อยู่ตรงเขตทะเลที่เป็นรอยต่อระหว่าง Aelio กับ Kvaris<br>ระหว่างทางที่จะไป Kvaris ก็ช่วยแวะไปดูหน่อยนะ"""
msn_041200_0120#0,"""ต้องไปเห็นด้วยตาของพวกเธอเอง<br>ว่าสิ่งที่พวกเราจะต้องเผชิญหน้าต่อจากนี้คืออะไรน่ะ"""
msn_041200_0130#0,"""อื้อ... เข้าใจแล้วล่ะ"""
msn_041200_0140#0,"""ฝากด้วยนะ<br><%me>"""
