Title#0,"""ความทรงจำของ Lucia"""
Summary#0,"""หลังจากได้รับแจ้งจาก Crawford<br>Lucia ก็วิ่งพรวดพราดออกจากห้องบัญชาการไป<br>พวก <%me><br>จึงออกตามหา Lucia"""
text0101#0,"""คุยกับ Lucia"""
text0102#0,"""มุ่งหน้าสู่ Retem City"""
text0103#0,"""คุยกับ Nadereh ใกล้กับป้ายหลุมศพ"""
text0104#0,"""มุ่งหน้าไปยังจุดที่ Guide Marker ชี้"""
text0105#0,"""คุยกับ Nadereh"""
text0106#0,"""มุ่งหน้าสู่ South Kvaris"""
Objective360#0,"""<space>"""
text0107#0,"""คุยกับ Meri"""
text0108#0,"""มุ่งหน้าสู่ Stia Camp"""
text0109#0,"""ตามหา Glen"""
text0110#0,"""มุ่งหน้าไปยังจุดที่ Guide Marker ชี้"""
text0111#0,"""คุยกับ Glen"""
