msc_041360_0010#0,"""ยินดีต้อนรับสู่หัวใจของหอคอย"""
msc_041360_0020#0,"""มาถึงที่นี่ได้เร็วขนาดนี้เลยนะเนี่ย<br>ประมาทพวกเธอไปหน่อยแฮะ"""
msc_041360_0030#0,"""...อย่างที่คิดเลย แกคือเจ้าของหอคอยนี้สินะ"""
msc_041360_0040#0,"""เจ้าของอะไรกัน ไม่ได้ยิ่งใหญ่ขนาดนั้นหรอกน่า<br>ก็แค่ได้รับหน้าที่จากท่านผู้นั้น ให้มาคอยต้อนรับพวกเธอที่นี่ก็แค่นั้นเอง"""
msc_041360_0050#0,"""ท่านผู้นั้น...?"""
msc_041360_0060#0,"""เอาล่ะ จะบอกให้ตามสัญญาแล้วกัน หลุมนั่นที่โผล่มาบน Halpha...<br>เรื่องที่พวกเธอเรียกว่า 【 Abduction Hole 】 น่ะ"""
msc_041360_0070#0,"""ถ้าปล่อยทิ้งไว้ ในไม่ช้ามันก็จะกลืนกินโลกใบนี้ ทั้ง Halpha แห่งนี้นี่แหละ"""
msc_041360_0080#0,"""...แบบนี้ก็ปล่อยทิ้งไว้ไม่ได้จริงๆ สินะ"""
msc_041360_0090#0,"""ถูกต้อง ถ้าอยากจะหยุดมันล่ะก็ ต้องทำลายหัวใจของหอคอย... 【 Core 】 ทิ้งซะ<br>รวมที่นี่ด้วยก็มีทั้งหมด 3 แห่ง ถ้าทำลายทิ้งได้ ก็จะหยุดการขยายตัวของหลุมได้"""
msc_041360_0100#0,"""ที่เห็นอยู่ตรงนั้นก็คือ Core ล่ะ<br>ถ้าให้อธิบายด้วยภาษาของพวกเธอ ก็คงประมาณว่าเป็นศูนย์กลางของระบบควบคุมล่ะมั้ง"""
msc_041360_0110#0,"""แต่มันไม่ง่ายหรอกนะ<br>ก็เพราะว่าหอคอยทั้ง 3 แห่งนี้ มี 【 เงา 】 ที่ถูกเลือกประจำอยู่ยังไงล่ะ"""
msc_041360_0120#0,"""เงา... ที่ถูกเลือก?"""
msc_041360_0130#0,"""ตัวตนแบบฉันนี่แหละ สร้างขึ้นจากร่างต้นแบบที่ยอดเยี่ยม<br>เพื่อก้าวข้ามต้นฉบับ เงาที่สมบูรณ์แบบ... 【 Three Shadow Heroes 】"""
msc_041360_0140#0,"""Three Shadow Heroes...<br>นายคือหนึ่งในนั้นงั้นเหรอ?"""
msc_041360_0150#0,"""ใช่แล้ว ฉันนี่แหละคือ 【 เงาแห่งปัญญา 】 หนึ่งใน Three Shadow Heroes<br>แล้วที่ที่พวกเธออยู่ในตอนนี้ ก็คือหนึ่งในหอคอยทั้ง 3 แห่งนั้นไงล่ะ"""
msc_041360_0160#0,"""ความจริง ถ้า Original ของฉันมาที่นี่ด้วยล่ะก็<br>คงจะสนุกกว่านี้แท้ๆ เชียว"""
msc_041360_0170#0,"""การได้กำจัดหมอนั่นด้วยมือคู่นี้ ถึงจะทำให้การละเล่นนี้สมบูรณ์แบบได้แท้ๆ"""
msc_041360_0180#0,"""พวกฉันนี่แหละที่จะจัดการนายเอง"""
msc_041360_0190#0,"""ไม่ยอมให้ทำแบบนั้นหรอก"""
msc_041360_0200#0,"""ฟุฟุ มั่นใจดีนี่<br>ชักอยากจะเห็นหน้าหมอนั่นตอนที่ฉันฝังพวกเธอเสร็จซะแล้วสิ"""
msc_041360_0210#0,"""จะเป็นอย่างนั้นเหรอ?<br>พอจัดการพวกเธอเสร็จ ต่อไปก็ตาหมอนั่นแหละ"""
msc_041360_0220#0,"""อย่ามาพูดถึง Crawford แบบนั้นนะ!"""
msc_041360_0230#0,"""ฮ่าฮ่า ขอเสียมารยาทไปหน่อย<br>...เอาล่ะ เผลอคุยเพลินไปหน่อยแฮะ"""
msc_041360_0240#0,"""ช่างเถอะ ไม่เป็นไรหรอก<br>ยังไงพวกเธอก็ต้องมาจบชีวิตลงที่นี่อยู่แล้วนี่นา"""
msc_041360_0250#0,"""ลำดับที่ 3 แห่ง Three Shadow Heroes, เงาแห่งปัญญา Crawford<br>มาเริ่มการละเล่นกันเลยดีกว่า!"""
