name_7002#0,"""Aina"""
name_7001#0,"""Manon"""
name_7016#0,"""Glen"""
name_7022#0,"""Kanui"""
name_7034#0,"""Lucia"""
msn_041170_0010#0,"""หัวหน้าคะ พาพวก <%me><br>มาแล้วค่ะ"""
msn_041170_0020#0,"""Kanui ลำบากหน่อยนะ<br>ไม่ได้เจอกันนานเลยนะ พวกเธอ"""
msn_041170_0030#0,"""แล้วก็... ได้ยินเรื่องมาจาก Crawford แล้วล่ะ<br>เธอคือ Lucia สินะ"""
msn_041170_0040#0,"""ใช่แล้ว นายคือ Glen สินะ"""
msn_041170_0050#0,"""อา ได้ยินว่ากำลังตระเวนไปทั่วเพื่อตามหาความทรงจำอยู่นี่<br>ได้เรื่องบ้างไหมล่ะ"""
msn_041170_0060#0,"""...ไม่อ่ะ ยังนึกอะไรไม่ออกเลย"""
msn_041170_0070#0,"""งั้นเหรอ... น่าเสียดายนะ"""
msn_041170_0080#0,"""แต่ว่า พอได้ฟังเรื่องราวของคนหลายๆ คน ฉันก็เริ่มจะเข้าใจอะไรขึ้นมาบ้างนิดหน่อยแล้วล่ะ"""
msn_041170_0090#0,"""ไม่ว่าจะไปที่ไหน ผู้คนที่ฉันได้พบเจอก็ล้วนแต่<br>ใช้ชีวิตอยู่ในตอนนี้เพื่อปกป้องสิ่งสำคัญของตัวเองทั้งนั้นเลย"""
msn_041170_0100#0,"""...เพื่อปกป้อง งั้นเหรอ นั่นสินะ<br>ฉันเองก็ต่อสู้อย่างเอาเป็นเอาตายอยู่ที่นี่ เพื่อปกป้องสิ่งสำคัญเหมือนกัน"""
msn_041170_0110#0,"""ทั้งความเจ็บปวด ทั้งการสูญเสีย ฉันลิ้มรสมาจนเอือมระอาแล้วล่ะ<br>แต่ถึงอย่างนั้น ฉันก็ยังอยากจะปกป้องมันอยู่ดี"""
msn_041170_0120#0,"""ช่วงเวลาที่ยืนหยัดมาด้วยความมุ่งมั่นนั้น คงเป็นสิ่งที่หล่อหลอมให้ฉันเป็นฉันในตอนนี้ล่ะมั้ง"""
msn_041170_0130#0,"""นั่นสินะคะ ทั้งตัวฉันเองและพวกลูกน้อง...<br>ไม่สิ ผู้คนที่อาศัยอยู่ใน Halpha ทุกคนก็คงจะเป็นแบบนั้นเหมือนกันค่ะ"""
msn_041170_0140#0,"""ตอนนี้ฉันยังวุ่นอยู่กับการตามหาความทรงจำที่หายไป<br>ก็เลยยังไม่รู้หรอกว่าต่อจากนี้ฉันจะมีสิ่งสำคัญแบบนั้นจริงๆ หรือเปล่า"""
msn_041170_0150#0,"""แต่ว่า... ถ้าหากวันนึงฉันเกิดความรู้สึกที่อยากจะ 【 ปกป้อง 】 อะไรสักอย่างขึ้นมา...<br>ฉันคิดว่าตัวฉันในตอนนั้น คงจะต่างไปจากตัวฉันในตอนนี้แน่ๆ เลย"""
msn_041170_0160#0,"""อา นั่นสินะ แต่ถ้าวัดจากที่ได้ยินมาจาก Crawford ล่ะก็<br>ดูเหมือนเธอจะเริ่มเปลี่ยนไปแล้วนะ"""
msn_041170_0170#0,"""ใช่ไหมล่ะ! ฉันเองก็คิดแบบนั้นเหมือนกัน!"""
msn_041170_0180#0,"""ก็แหม ดูสิ พูดคำว่าขอบคุณอย่างตรงไปตรงมาได้แล้วนี่นา<br>แถมยัง... อืม มีอีกตั้งหลายอย่างเลย!"""
msn_041170_0190#0,"""ด... เดี๋ยวสิ หยุดเลยนะ Aina!<br>เรื่องแบบนั้นน่ะ อย่าพูดเสียงดังสิ!"""
msn_041170_0200#0,"""ฟุฟุ การที่เธอเขินแบบนี้ ก็ถือเป็นความเปลี่ยนแปลงอย่างนึงเหมือนกันสินะ"""
msn_041170_0210#0,"""โธ่เอ๊ย Manon ก็เอาด้วยเหรอ...!"""
msn_041170_0220#0,"""ฟุฟุ... พอเห็นพวกคุณแล้ว<br>ทำให้นึกถึงตอนที่หัวหน้ากับ Crawford คุยกันเมื่อก่อนเลยค่ะ"""
msn_041170_0230#0,"""แวะมาที่ Stia ได้ทุกเมื่อเลยนะคะ<br>ยินดีต้อนรับเสมอค่ะ"""
