name_7002#0,"""Aina"""
name_7015#0,"""Meri"""
name_7034#0,"""Lucia"""
msn_041120_0010#0,"""มากันแล้วสินะ <%me><br>Aina กับ Manon ก็ด้วย"""
msn_041120_0020#0,"""เธอคือ Lucia สินะ?<br>ฉันชื่อ Meri นะ ฝากตัวด้วยล่ะ"""
msn_041120_0030#0,"""...อื้อ ฝากตัวด้วยนะ"""
msn_041120_0040#0,"""ไม่ได้เจอกันนานเลยนะ Meri วันนี้คนอื่นๆ ไม่อยู่เหรอ?"""
msn_041120_0050#0,"""อื้อ พวกพี่ชายต่างก็มีเรื่องที่ต้องทำ เลยออกไปข้างนอกกันหมดน่ะ"""
msn_041120_0060#0,"""Ilma เองก็บอกว่ามีเรื่องที่คาใจอยู่<br>ก็เลยออกไปข้างนอกตั้งแต่หลายวันก่อนแล้วล่ะ"""
msn_041120_0070#0,"""ขอโทษด้วยนะ อุตส่าห์มาหากันแท้ๆ"""
msn_041120_0080#0,"""ไม่ต้องคิดมากหรอก"""
msn_041120_0090#0,"""แค่ได้มาเจอ Meri ก็ดีใจแล้วล่ะ"""
msn_041120_0100#0,"""พูดแบบนั้นก็ค่อยโล่งใจหน่อย<br>ขอบใจนะ <%me>"""
msn_041120_0110#0,"""ฟุฟุ ขอบใจนะ<br>ฉันเองก็ดีใจเหมือนกันที่ได้เจอพวกเธอหลังจากไม่ได้เจอกันตั้งนาน"""
msn_041120_0120#0,"""นี่ เธอ... Meri ใช่ไหม<br>ขอถามอะไรอย่างนึงได้หรือเปล่า?"""
msn_041120_0130#0,"""เอ๊ะ? อะไรเหรอ"""
msn_041120_0140#0,"""...ในสถานที่ที่สวยงาม แต่ก็ดูเงียบเหงาแบบนี้<br>ทำไมเธอถึงอยู่บ้านนี้คนเดียวล่ะ?"""
msn_041120_0150#0,"""พวกพี่ชายออกไปข้างนอกกันหมดใช่ไหมล่ะ? แล้วเธอ...<br>ไม่เคยคิดอยากจะออกไปที่ไหนไกลๆ บ้างเลยเหรอ?"""
msn_041120_0160#0,"""นั่นสินะ...<br>พอโดนทักแบบนี้ ฉันเองก็อาจจะไม่ค่อยได้คิดเรื่องนั้นเลยแฮะ"""
msn_041120_0170#0,"""คงเป็นเพราะที่นี่...<br>เป็นสถานที่ที่ครอบครัวของพวกเราเกิดและเติบโตมาละมั้ง"""
msn_041120_0180#0,"""เวลาที่ทุกคนอยากจะกลับมา ฉันก็อยากจะให้มีที่ให้กลับมาได้เสมอ<br>ฉันก็เลยรู้สึกขึ้นมาเองอย่างเป็นธรรมชาติ ว่าฉันจะเป็นคนคอยปกป้องบ้านหลังนี้น่ะ"""
msn_041120_0190#0,"""...สถานที่ที่ให้กลับมาได้..."""
msn_041120_0200#0,"""เป็นยังไงบ้าง? คำตอบนี้พอจะช่วยอะไรได้บ้างไหม?"""
msn_041120_0210#0,"""อื้อ ถึงจะยังไม่ค่อยเข้าใจเท่าไหร่ก็เถอะ..."""
msn_041120_0220#0,"""แต่การมีสถานที่แบบนั้นอยู่ มันก็ดู... ดีจังเลยนะ"""
