name_7015#0,"""메리"""
name_7010#0,"""나데레프"""
msn_027630_0010#0,"""어~이!"""
msn_027630_0020#0,"""안녕. 둘 다 와 있었구나."""
msn_027630_0030#0,"""두 사람이 에어리오에 있다니 신기하네."""
msn_027630_0035#0,"""또 봐!"""
msn_027630_0040#0,"""요즘 종종 오고 있어."""
msn_027630_0050#0,"""나데레프랑도 자주 만나."""
msn_027630_0060#0,"""그래."""
msn_027630_0070#0,"""지금까지는 크바리스 밖으로 나가는 게<br>왠지 모르게 망설여졌었어."""
msn_027630_0080#0,"""그런데 아이나가<br>바깥세상도 즐겁다고 해서."""
msn_027630_0090#0,"""여러 곳에<br>데려가 달라고 하게 됐어."""
msn_027630_0100#0,"""나도 마찬가지다."""
msn_027630_0110#0,"""리템도 이전보다 안정돼서<br>내가 선두에 설 일도 꽤 줄었다."""
msn_027630_0120#0,"""하디 일행도<br>자리를 비워도 괜찮다고 하더군."""
msn_027630_0130#0,"""그런 와중에<br>메리와도 교류하게 된 것이다."""
msn_027630_0140#0,"""아이나가 그런 일을."""
msn_027630_0150#0,"""두 사람이 어느새…."""
msn_027630_0160#0,"""아이나에게는<br>신세만 지는군."""
msn_027630_0170#0,"""나 스스로도 놀랐어."""
msn_027630_0180#0,"""아이나가<br>소개해주고 싶은 사람이 있다고 해서."""
msn_027630_0190#0,"""그랬더니 나데레프가 와서<br>깜짝 놀랐지 뭐야."""
msn_027630_0200#0,"""처음에는 긴장했는데<br>지금은 완전 친해졌어."""
msn_027630_0210#0,"""그래.<br>여러모로 이야기도 잘 통해서 말이다."""
msn_027630_0220#0,"""메리의 이야기는 하나같이 흥미롭다."""
msn_027630_0230#0,"""크바리스의 환경은<br>리템과는 크게 다르지."""
msn_027630_0240#0,"""그 동식물의 생태 등을 알기 위해<br>각지를 안내받고 있는 것이다."""
msn_027630_0250#0,"""반대로 내가<br>리템을 안내받을 때도 있어."""
msn_027630_0260#0,"""리템 사람들은 다들 친절해서<br>여러모로 도움을 받고 있어."""
msn_027630_0270#0,"""인연이 넓어져서<br>내가 할 수 있는 일도 늘어난 기분이야."""
msn_027630_0280#0,"""…그런데<br>예전에 들은 이야기다만…."""
msn_027630_0290#0,"""크바리스는 과거에는 에어리오처럼<br>온난한 곳이었던 것 같더군."""
msn_027630_0300#0,"""메리 일행은 그 시대의 환경을<br>되찾으려 한다고 들었다."""
msn_027630_0310#0,"""응."""
msn_027630_0320#0,"""크바리스를 옛 모습으로 되돌리는 건<br>할아버지의 비원이야."""
msn_027630_0330#0,"""…하지만 요즘은 남매 사이에서도<br>지금 모습도 좋은 점이 있다고 말해."""
msn_027630_0340#0,"""아까 말했던<br>동물이나 식물 이야기도 그렇고."""
msn_027630_0350#0,"""그래서 전부 원래대로 되돌릴 필요는<br>없지 않을까 생각하기 시작했어."""
msn_027630_0360#0,"""그랬었나."""
msn_027630_0370#0,"""그래도 크바리스에서 살면서<br>불편한 부분은 개선하고 싶어."""
msn_027630_0380#0,"""그리고 이왕이면 로스트 센트럴이라고<br>불리는 곳은 살 수 있게 만들 수 없을까 하고."""
msn_027630_0390#0,"""그렇군."""
msn_027630_0400#0,"""무슨 일 있으면<br>언제든 말해라."""
msn_027630_0410#0,"""나도 힘이 되고 싶다."""
msn_027630_0420#0,"""고마워!<br>나데레프."""
