line01#0,"""섬멸 완료!<br>퀴즈 회장 개방!"""
line02#0,"""에너미는 몇 마리? 퀴즈 시작! (총 문제 1개)"""
line03#0,"""출현하는 에너미의 수를 세고<br>15초 이내에 정답을 선택하라!"""
countdown_3#0,"""3"""
countdown_2#0,"""2"""
countdown_1#0,"""1"""
line04#0,"""스타트!"""
line05#0,"""타임 업!<br>정답은…"""
line06#0,"""모든 프로그램이 종료되었습니다!<br>당신의 최종 성적은 〇〇포인트였습니다!"""
line07#0,"""또 참가해 주시기를 바랄게요!"""
quize01_select1#0,"""21마리"""
quize01_select2#0,"""22마리"""
quize01_select3#0,"""23마리"""
quize01_select4#0,"""24마리"""
quize01_correct#0,"""22마리였습니다!<br>축하합니다! +1포인트입니다!"""
quize01_incorrect#0,"""였습니다!<br>오답! 아쉽네요!"""
