ssc_502110_0010#0,"""뭘 보고 있어?"""
ssc_502110_0020#0,"""무슨 생각 해?"""
ssc_502110_0030#0,"""…아니,<br>조금 생각에 잠겨 있었어."""
ssc_502110_0040#0,"""…제페토에 대해서."""
ssc_502110_0050#0,"""…응, 조금."""
ssc_502110_0060#0,"""제페토를<br>떠올리고 있었어."""
ssc_502110_0070#0,"""제페토는<br>많은 데이터를 남기고 갔지…."""
ssc_502110_0080#0,"""파리아의 \""기억\"" 속에 말이야."""
ssc_502110_0090#0,"""그것들을 분석하면<br>많은 수수께끼가 풀릴 거야."""
ssc_502110_0100#0,"""이 할파의 기원이나<br>돌즈의 구조…."""
ssc_502110_0110#0,"""물론 스타레스에 대해서도."""
ssc_502110_0120#0,"""…그런 정보는<br>분명 중요하지."""
ssc_502110_0130#0,"""…하지만."""
ssc_502110_0140#0,"""나는 그것보다…."""
ssc_502110_0150#0,"""제페토 본인에 대해<br>더 알고 싶었어."""
ssc_502110_0160#0,"""리서전트 아크스의<br>총독으로서의 기나긴 세월…."""
ssc_502110_0170#0,"""어떤 마음으로<br>활동했던 걸까…."""
ssc_502110_0180#0,"""조금이라도<br>그 마음에 닿고 싶었어."""
ssc_502110_0190#0,"""그러면 내가 해 온 일의 의미를<br>이해할 수 있을지도 몰라…."""
ssc_502110_0200#0,"""…아니, 그게 아니야."""
ssc_502110_0210#0,"""그런 어려운 이야기가 아니라…."""
ssc_502110_0220#0,"""…좀 더 이야기하고 싶었어."""
ssc_502110_0230#0,"""이전에 제페토는 자기 자신을<br>우리들의 \""아버지\""라고 했었지."""
ssc_502110_0240#0,"""물론 피가 이어져 있지는 않아."""
ssc_502110_0250#0,"""단순히 \""말\""로서의 우리를<br>묶어두는 존재로서 그렇게 말했던 거겠지."""
ssc_502110_0260#0,"""…그런데도<br>지금은 이야기가 하고 싶어…."""
ssc_502110_0270#0,"""아무것도 아닌<br>일상적인 대화를…."""
ssc_502110_0280#0,"""그렇게 생각하는 내가 있어."""
ssc_502110_0290#0,"""이 감정은 뭘까?"""
ssc_502110_0300#0,"""\""가족\""을 향한 마음."""
ssc_502110_0310#0,"""제페토를 향한 그리움."""
ssc_502110_0320#0,"""…."""
ssc_502110_0330#0,"""…그렇네.<br>그럴지도 모르겠어."""
ssc_502110_0340#0,"""그럴… 지도 모르겠네."""
ssc_502110_0350#0,"""…하지만<br>이제 만날 수는 없어."""
ssc_502110_0360#0,"""…이 감정에<br>사로잡혀 있어선 앞으로 나아갈 수 없어…."""
ssc_502110_0370#0,"""…그래.<br>어쨌든 지금은 앞으로 나아갈 것만 생각할래."""
ssc_502110_0380#0,"""나는 할파의 모두를 위해<br>지금까지 이상으로 힘을 쏟을 거야."""
ssc_502110_0390#0,"""고마워.<br>이야기를 들어줘서."""
ssc_502110_0400#0,"""덕분에 마음 정리가 됐어."""
ssc_502110_0410#0,"""앞으로도 함께 힘내자."""
