name_7016#0,"""그렌"""
ssn_017120_0010#0,"""여기군."""
ssn_017120_0020#0,"""…역시 있었나.<br>이런 데이터가 여기에 묻혀 있었을 줄이야 생각도 못 했군."""
ssn_017120_0030#0,"""크로포드와 히바나와 함께 자주 이곳에서 하늘을 보곤 했지.<br>훈련이 끝나면 밤이 깊어가는 것도 잊고 이곳에서 이야기했다."""
ssn_017120_0040#0,"""…지금 와서 생각해 보면 히바나는 하늘을 보고 있었다기보다는<br>고향을 보고 있었던 건지도 모르겠군."""
ssn_017120_0050#0,"""히바나는 훈련 중에도 그 이외의 시간에도 중심에 있는 듯한 사람이었다.<br>나나 크로포드처럼 모진 녀석에게도 스스럼없이 대해 주었지."""
ssn_017120_0060#0,"""그런 녀석이 갑자기 사라지면<br>남겨진 녀석들은 이곳에 올 수 없게 되겠지."""
ssn_017120_0070#0,"""그 때문에 이 데이터를 찾는 것도<br>꽤 시간이 걸려 버렸군."""
ssn_017120_0080#0,"""그 녀석은 우리의 미래는 우리가 바꾸자고 이야기했었다.<br>지금은 히바나가 바라던 미래가 되었을까."""
ssn_017120_0090#0,"""…그런걸 생각해 봤자 소용없겠지.<br>준비가 끝나는 대로 크로포드와 합류하도록 하지."""
ssn_017120_0100#0,"""좋아했던 거겠지.<br>이 장소도, 함께 보낸 시간도, 모든 것을…."""
