name_7425#0,"""Рональдин"""
ssn_014590_0001#0,"""Прибывший(ая) со Звёзд?..<br>Судя по всему у вас есть руки."""
ssn_014590_0002#0,"""Я хотела бы посоветовать вам разработанное мной особое<br>меню тренировок, но, похоже, пока слишком рано."""
ssn_014590_0003#0,"""Пожалуйста, уделите больше времени тренировкам,<br>а после, возвращайтесь. Конечно,<br>Чесли вы будете чувствовать, что готовы..."""
ssn_014590_0101#0,"""Я - старший инструктор по обучению ARKS, Рональдин...<br>Как и Лиа Мей, я поддерживаю деятельность ARKS..."""
ssn_014590_0102#0,"""Я подготовила для вас тренировочное меню.<br>Ну что, возьмётесь?.."""
ssn_014590_0103#0,"""...Однако, имейте ввиу, """
ssn_014590_0104#0,"""Вам придётся тяжко, если не будете серьёзны..."""
ssn_014590_0201#0,"""Мои тренировки не сладкие на вкус.<br>Многие бросают дело на половине пути..."""
ssn_014590_0202#0,"""Вам придётся тяжко, если не будете серьёзны..."""
ssn_014590_0301#0,"""Просто замечательно. Прикладываемые вами усилия...<br>Честно говоря, вы меня впечатлили."""
ssn_014590_0302#0,"""Какой талант...<br>Думаю, вас можно было бы сравнить с Гароа."""
ssn_014590_0303#0,"""Хи-хи... Вы смогли меня развлечь.<br>Пожалуйста, продолжайте оттачивать своё мастерство..."""
ssn_014590_0304#0,"""Позвольте мне приступить к составлению более плотного<br>меню тренировок. Ждите с нетерпением."""
