name_7425#0,"""Рональдин"""
ssn_014610_0001#0,"""Прибывшийая со Звёзд?..<br>Судя по всему у вас есть руки."""
ssn_014610_0002#0,"""Я хотела бы посоветовать вам разработанное мной особое<br>меню тренировок, но, похоже, пока слишком рано."""
ssn_014610_0003#0,"""Пожалуйста, уделите больше времени тренировкам,<br>а после, возвращайтесь. Конечно,<br>Чесли вы будете чувствовать, что готовы..."""
ssn_014610_0011#0,"""Это вы?.."""
ssn_014610_0012#0,"""Я хотела бы посоветовать вам разработанное мной особое<br>меню тренировок, но, похоже, пока слишком рано."""
ssn_014610_0013#0,"""Пожалуйста, потренируйтесь и возвращайтесь позже."""
ssn_014610_0101#0,"""Я - старший инструктор по обучению ARKS, Рональдин...<br>Как и Лиа Мей, я поддерживаю деятельность ARKS..."""
ssn_014610_0102#0,"""Я подготовила для вас тренировочное меню.<br>Ну что, возьмётесь?.."""
ssn_014610_0103#0,"""Хотела бы я вам посоветовать, но мои тренировки не сладкие на вкус.<br>Многие бросают дело на половине пути..."""
ssn_014610_0104#0,"""Вам придётся тяжко, если не будете серьёзны..."""
ssn_014610_0151#0,"""Вы пришли..."""
ssn_014610_0152#0,"""Судя по всему, вы вроде как тренировками не принебрегали..."""
ssn_014610_0153#0,"""Я подготовила для вас тренировочное меню.<br>Ну что, возьмётесь?.."""
ssn_014610_0154#0,"""...Имейте ввиду, они могут прийтись вам не по вкусу."""
ssn_014610_0155#0,"""Вам придётся тяжко, если не будете серьёзны..."""
ssn_014610_0201#0,"""Мои тренировки не сладкие на вкус.<br>Многие бросают дело на половине пути..."""
ssn_014610_0202#0,"""Вам придётся тяжко, если не будете серьёзны..."""
ssn_014610_0251#0,"""Мои тренировки могут прийтись вам не по вкусу..."""
ssn_014610_0252#0,"""Вам придётся тяжко, если не будете серьёзны..."""
ssn_014610_0301#0,"""Просто замечательно. Прикладываемые вами усилия..."""
ssn_014610_0302#0,"""Хи-хи... Вы смогли меня развлечь.<br>Пожалуйста, продолжайте оттачивать своё мастерство..."""
ssn_014610_0303#0,"""Позвольте мне приступить к составлению более плотного<br>меню тренировок. Ждите с нетерпением."""
