un_020440_0010#0,"""(sighs)"""
un_020440_0020#0,"""Ah, sorry, I was lost in my thoughts."""
un_020440_0030#0,"""Umm, could I ask you about something? It's nothing important though."""
un_020440_0040#0,"""It wouldn't be weird for a guy and a girl to team up for a mission, would it?"""
un_020440_0050#0,"""Then, what if they happened to join arms?"""
un_020440_0060#0,"""Like, not so much a mission, but... having fun together?"""
un_020440_0070#0,"""I-it's not like I'm talking about anybody in particular, it just piqued my interest a little."""
un_020440_0080#0,"""It's just, I don't really understand, but... I got a little uneasy... and irritated..."""
un_020440_0090#0,"""I'm sorry. It must be troubling listening to something ambiguous like this."""
un_020440_0100#0,"""Forget about what I said, it'll go away if I don't think about it."""
un_020440_0110#0,"""Right, there's no need for me to worry about... I shouldn't need to worry... about it."""
