ra_012010_0010#0,"""La línea de tiempo ha mostrado un cambio significativo. Esto es todo por sus esfuerzos."""
ra_012010_0020#0,"""...Incluso si no puede ser lo que había esperado."""
ra_012010_0030#0,"""Nosotros debemos disculparnos. Aunque supimos de este resultado no pudimos alterarlo."""
ra_012010_0040#0,"""Sin embargo, todo lo que se podía hacer se intentó. Puede que no haya sido por nada."""
ra_012010_0050#0,"""Porque el que lo ha visto todo; puede sostener la llave."""
ra_012010_0055#0,"""Las experiencias que ustedes sostienen darán forma al mundo, junto con los aliados y enemigos que vienen de él."""
ra_012010_0060#0,"""Eso es algo que debes seguir viendo como deseas."""
ra_012010_0070#0,"""Nosotros estamos aquí para ayudarte tanto como podamos."""
ra_012010_0080#0,"""A.P.238/4/2"""
al_010090_0010#0,"""……今から四十年以上前<br>わたしと、ギーくんと、リーちゃんは<br>ダークファルス【巨躯】と戦った。"""
al_010090_0020#0,"""結果だけ見れば、アークスの勝ちだよ。<br>相当ボロボロにされちゃったけども<br>……アークスは、勝ったんだ。"""
al_010090_0030#0,"""【巨躯】の力はとんでもなかったよ。<br>あいつの力でナベリウスの地形が変わり<br>凍土が生まれちゃったぐらいだからね。"""
al_010090_0040#0,"""消滅させるのは、不可能だった。<br>だから、【巨躯】を封印したんだ。<br>ナベリウスの大地に縛り付けるように。"""
al_010090_0050#0,"""その時に使ったのが<br>創世器「白錫クラリッサ」……<br>貴方が直してくれた、あの武器だよ。"""
al_010090_0060#0,"""こうして、クラリッサを鍵として<br>【巨躯】は封印された。<br>けど、皆には「撃破した」と伝えた。"""
al_010090_0070#0,"""そこに、いろいろな思惑はあったけど<br>三英雄と祭りあげられた、わたしたちも<br>それでいいと、思ってた。"""
al_010090_0080#0,"""これからも続くダーカーとの戦いで<br>その虚勢の事実が、希望になるなら<br>……優しい嘘も、必要だって。"""
al_010090_0090#0,"""いつか、わたしたちが繋いだ未来の先に<br>ダークファルスを完全に消滅させる手が<br>見つかるって信じてたしね。"""
al_010090_0100#0,"""でも、数十年程度で封印が<br>解除されちゃうなんて<br>思ってもみなかった、かな。"""
al_010090_0110#0,"""しかも、その封印解除は<br>シオンの導きによって成就したと<br>言っても過言じゃないわけ。"""
al_010090_0120#0,"""【巨躯】を復活させる危険を冒してまで<br>叶えたかったシオンの目的……願いって<br>一体、何なんだろう……"""
al_010090_0130#0,"""次の記録も、見てみないと。"""
text01#0,"""<br>Recibes Matterboard 『Conflictos de la Idol』<br>"""
