name01#0,"""???"""
name02#0,"""???"""
st_010375_0010#0,"""A new Matter Board has been formed. This is a result of following the path you were meant to take."""
st_010375_0020#0,"""From now on, you will see the truth, of both the past and the future."""
st_010375_0030#0,"""But you must not lose your focus. This is an ability that only you possess."""
st_010375_0080#0,"""For now, the only thing I can say is that I would like you to believe me."""
al_010050_0010#0,"""Hmm, ever since I came here... I became more aware of my movements."""
al_010050_0020#0,"""He is being particularly mindful of that broken weapon... That's just what I think but... Why was it broken in the first place...?"""
al_010050_0030#0,"""... Ah, sorry I digressed. Xion's goal appears to be the collection of that broken weapon's fragments."""
al_010050_0040#0,"""Moreover, that masked person seems to be looking for the same fragments. But you obstructed that person's plans. """
al_010050_0050#0,"""Originally, that masked man would have died in the Tundra, but you have rewritten the fate of the fragments collected by the masked person by altering the future."""
al_010050_0060#0,"""What does that mean... At that point in time, only Xion would have known the answer."""
al_010050_0070#0,"""I wished she told me that story sooner. I wish she told me... That’s right, that's no good."""
al_010050_0080#0,"""Even if she told you it would be useless, things regarding the future are things we can't be sure of... Something like that."""
