name01#0,"""？？？"""
name02#0,"""？？？"""
ra_020040_0001#0,"""A.P.238/6/12"""
ra_020040_0010#0,"""¿Por qué no te quedas fuera de esto, Xion? No es que usted participe en esfuerzos inútiles."""
ra_020040_0020#0,"""Usted de toda la gente debe saber que Oracle y todos los ARKS están en mi control."""
ra_020040_0030#0,"""No hay nada sin sentido, tú fuiste quien me lo explicó."""
ra_020040_0040#0,"""Pero supongo que no me importa. Tener algunas irregularidades hace las cosas más interesantes."""
ra_020040_0050#0,"""Supongo que poder disfrutarme es un raro privilegio que me ha sido concedido por vivir tanto tiempo."""
ra_020040_0060#0,"""Parece que estás haciendo bastante. He escuchado reportes de eventos aquí y allá."""
ra_020040_0070#0,"""Puedes hacer lo que quieras, pero no te permito que interfieras. Eso sería demasiado aburrido."""
ra_020040_0080#0,"""Después de vivir por casi una eternidad, a veces necesita algo de emoción. Usted está de acuerdo, ¿Verdad?"""
ra_020040_0090#0,"""Luther ya no es humano, pero no debes olvidar que él era uno."""
ra_020040_0100#0,"""Se deja llevar. El temor a la falta de seriedad era su mayor temor como persona."""
ra_020040_0110#0,"""Ésa podría ser su mayor fortaleza o mayor debilidad. Por lo menos, digno de mención."""
ra_020040_0120#0,"""Eso es lo que hemos concluido. Con suerte, esa conclusión no es un error."""
ra_020040_0130#0,"""Debes continuar como creas que necesitas. Esto es lo que todos desean."""
al_020020_0010#0,"""シャオくん、ついに登場してきたね。<br>なるほどなるほど、こういった経緯で<br>出会うことになったんだ。"""
al_020020_0020#0,"""んー、そうなるとあれがこうなって<br>えーっと、そういうことなのかな……<br>……ってああ、ゴメンゴメン。"""
al_020020_0030#0,"""わたし、昔は身体弱かったから<br>本を読んでいろいろ想像するのが<br>一番の楽しみだったの。それやってた。"""
al_020020_0040#0,"""シオンはどうしてシャオくんを作って<br>このタイミングで会うように<br>仕向けたのか、ってさ。"""
al_020020_0050#0,"""ここから、シャオくんの力を借りて<br>ルーサーの目論見を防いでいくには<br>……ここまでが必然なんじゃないかな。"""
al_020020_0060#0,"""【巨躯】の復活を見逃して<br>テオドールくんは利用される形になって<br>シオン自身にもルーサーが迫ってくる。"""
al_020020_0070#0,"""……そこまでの条件を整えないと<br>ルーサーがどこかで気付くと演算した。"""
al_020020_0080#0,"""ううん、何度も失敗した未来を見てきて<br>辿り着いた未来なんじゃないかな。<br>これより早いと、駄目だったんだよ。"""
al_020020_0090#0,"""【巨躯】復活を見逃し、ゼノくん救助。<br>これで、ルーサーの知らない事が一つ。<br>そういうのを、積み重ねていって……"""
al_020020_0100#0,"""……後々の、シオンの目的につながる。<br>そのためのピースが、揃い始めていく。<br>きっとその最初が、ここなんだよ。"""
al_020020_0110#0,"""もちろん、これまでのことだって<br>無駄なことは<br>一つもなかったんじゃないかな。"""
al_020020_0120#0,"""あなたが色々とやってきたから<br>サラちゃんも信頼してくれるし<br>リーちゃんも協力してくれた。"""
al_020020_0130#0,"""何がどう繋がっていくのか……<br>次の記録も見てみよう。"""
text01#0,"""<br>Obtienes Matter board<br>La luz que brilla en el borde de la esperanza.<br>"""
