st_013000_0001#0,"""A.P.238/4/9/10:50"""
st_013000_0010#0,"""Oh, new challengers! Hey there, come on in! The more the merrier!"""
st_013000_0020#0,"""The stage will be Naberius! Run through the forest and go for a high score!"""
st_013000_0030#0,"""As a bonus, this should help clear up the increase in Darkers from Dark Falz's revival!"""
st_013000_0040#0,"""You too, run wild together... Er, I mean, choose your partner and head for the battlefield! We're all waiting for you!"""
st_013000_0050#0,"""Invite Ohza"""
st_013000_0060#0,"""Invite Marlu"""
st_013000_0070#0,"""Invite Lisa"""
st_013000_0080#0,"""Next"""
st_013000_0090#0,"""Invite Afin"""
st_013000_0100#0,"""Invite Patty & Tea"""
st_013000_0110#0,"""Go without inviting anyone"""
st_013000_0120#0,"""Return"""
