st_013440_0001#0,"""A.P.238/4/9/12:30"""
st_013440_0010#0,"""That's enough! That was great, I really enjoyed watching your performance!"""
st_013440_0020#0,"""However... your performance was slightly lacking."""
st_013440_0030#0,"""That being said, your ability to pull through to the end is what is required of being in ARKS!"""
st_013440_0040#0,"""You didn't place anything above average, but you at least proved that you don't totally suck."""
st_013440_0060#0,"""And I won't let you complain that this was rigged or anything. Because, I am amazing! I am perfect!"""
st_013440_0070#0,"""If this is all you're capable of then we'll leave it at that!"""
st_013440_0080#0,"""Now, head back this event is ov-"""
st_013440_0100#0,"""What's this feeling?"""
st_013440_0110#0,"""I know someone's here! Come out!"""
st_013440_0120#0,"""You're not too bad for ARKS."""
st_013440_0130#0,"""I was trying to stay unnoticed, but I guess I'm not quite used to this body yet."""
st_013440_0140#0,"""What are you?"""
st_013440_0150#0,"""Do I really look that out of place? I think I look normal enough, don't I?"""
st_013440_0160#0,"""I was just sneaking a peek. It seemed like something fun to do."""
st_013440_0170#0,"""Besides..."""
st_013440_0180#0,"""I wanted to see the person who was able to hold back [Elder]"""
st_013440_0190#0,"""[Elder], the Dark Falz from before..."""
st_013440_0200#0,"""You don't have to be so tense. I'm not here to fight right now."""
st_013440_0210#0,"""So don't be so stiff. Common, relax."""
st_013440_0220#0,"""Hey!"""
st_013440_0230#0,"""What? Unless you want to die I'm not interested in obliging anything else."""
st_013440_0240#0,"""That face... just who are you!?"""
st_013440_0250#0,"""I'm your enemy."""
st_013440_0260#0,"""Or should I say that ARKS are our enemy."""
st_013440_0270#0,"""To be honest if possible I didn't want to meet you here. Honestly, I should kill you."""
st_013440_0280#0,"""But right now, I'm not in the mood. I'll just pretend I didn't see you."""
st_013440_0290#0,"""Later. Next time I see you will be to kill you. So be careful."""
st_013440_0300#0,"""You saw that just now, right?"""
st_013440_0310#0,"""That way of speaking, that immense pressure... right now that was-"""
st_013440_0320#0,"""Dark Falz... maybe"""
st_013440_0330#0,"""She looked similar to that mask guy"""
st_013440_0340#0,"""If you think so too, then that's probably what it was."""
st_013440_0350#0,"""Yeah, definitely seems like that guy we ran into on Naberius."""
st_013440_0360#0,"""But still, it felt like that Dark Falz's presence when talking to her."""
st_013440_0370#0,"""Like there are two people talking at once."""
st_013440_0380#0,"""But why!? Why did it have to be her?"""
st_013440_0390#0,"""Sorry, I'm just a little rattled, things I can't comprehend just keep happening."""
st_013440_0400#0,"""I can't believe how bad my luck is."""
st_013440_0410#0,"""Out all of all of the people on all of the ships in Oracle, why did it have to turn out like this?"""
