name01#0,"""？？？"""
name02#0,"""？？？"""
st_010230_0010#0,"""De todas las cosas, todos los posibles resultados que pueden llegar a pasar. Se formaron y hay que elegir entre dos alternativas."""
st_010230_0040#0,"""Se a formado una nueva Matter Board. Nuevos caminos se han abierto, ya que el futuro muestra signos de cambio."""
st_010230_0050#0,"""Sus acciones determinarán ese futuro. Me disculpo de nuevo por mis expresiones ambiguas."""
st_010230_0060#0,"""Lo único que nosotros podemos decir es que los acontecimientos pasados y futuros se harán evidentes."""
al_010030_0010#0,"""Los Darkers, son realmente incomodos<br>Incluso tras destruir sus cuerpos, el factor Darker vive<br>y corrompe ambos los objetos vivos y los no vivos."""
al_010030_0020#0,"""Ah... Debe ser realmente doloroso"""
al_010030_0030#0,"""Incluso a nosotros nos pueden afectar. Si no neutralizamos<br>el factor Darker, corrompera a nuestros photones en nuestros cuerpos<br>en un instante."""
al_010030_0040#0,"""Ese es el por quen solo los ARKS pueden luchar contra los Darkers.<br>Tu no puedes destruir a los Darkers<br>sin usasr algun tipo de habilidad que use los photones."""
al_010030_0050#0,"""Todos dijeron que Gi, Ri, y yo teniamos habilidades increibles,<br>pero tu eres algo totalmente distinto."""
al_010030_0060#0,"""Tu absorbistes y limpastes el factor Darker del Dragonkin.<br>...Eso es imposible para mi."""
al_010030_0070#0,"""Para ser sincera, es una habilidad aterradora<br>Pero ese poder es una de las razones del por que<br>Xion te escojio a ti."""
al_010030_0080#0,"""El maestro Loga iba a ser feroz, pero al limpiarlo, reescribistes el futuro asi que nacio la posibilidad de un intercambio entre los ARKS y la tribu de los draginkings."""
al_010030_0090#0,"""No se que hubiera cambiado en el futuro, pero es probable que sea un paso necesario en el plan de Xion."""
