st_012020_0005#0,"""【不可解な行動】<br>仮テキスト"""
st_012020_0010#0,"""Oh, what brings you here?"""
st_012020_0020#0,"""Casra of the Council of Six, why are you-?"""
st_012020_0030#0,"""Thanks for the greeting.<br>I'm here on a mission, just like you."""
st_012020_0040#0,"""But it's a rare sight to see you partied with anyone."""
st_012020_0050#0,"""Not to mention it's <%me>. This could be some act of fate."""
st_012020_0060#0,"""You know her?"""
st_012020_0070#0,"""Why are you here?"""
st_012020_0080#0,"""Not formally, we do tend to see each other occasionally on work related incidents."""
st_012020_0090#0,"""Nothing out of the ordinary. I'm just here on assignment from ARKS."""
st_012020_0100#0,"""But to jump right to the point, you two came here to confront the rampaging dragon, am I right?"""
st_012020_0110#0,"""It seems that there was a suspicious parameter in the sphere arena in the center of the city."""
st_012020_0120#0,"""Why would it be there?"""
st_012020_0130#0,"""Indeed, it seems odd."""
st_012020_0140#0,"""It seems that area is being used as a promotional stage for a certain idol."""
st_012020_0150#0,"""Not exactly a spot with a lot of Darkers, I find it completely baffling."""
st_012020_0160#0,"""<%me>, could it be that-"""
st_012020_0170#0,"""It wants to hear you sing?"""
st_012020_0180#0,"""Let's hurry."""
st_012020_0190#0,"""That could be a possibility. That's what I was doing when it appeared before."""
st_012020_0200#0,"""If we play a song in the sphere arena, we may be able to get it to stop for a period of time."""
st_012020_0210#0,"""A song?"""
st_012020_0220#0,"""It seems kind of poetic. But if it's <%me>'s idea, then it has merit."""
st_012020_0230#0,"""Very well, I will follow your lead on this one."""
st_012020_0240#0,"""It would make sense to head there,<br>as quickly as possible. Hurry."""
st_012020_0250#0,"""I owe you one Casra of the Council of Six."""
st_012020_0260#0,"""It seems that having you owe me a favor could come in handy sometime."""
st_012020_0270#0,"""Let's hurry. We cannot allow him to get away this time."""
st_012020_0280#0,"""While it's not much. Would allow me to accompany you?"""
st_012020_0290#0,"""You just want to keep tabs on me, don't you?"""
st_012020_0300#0,"""It seems you misjudge my intentions. Do you really think that's what I'm after?"""
st_012020_0310#0,"""Fine, do what you want."""
st_012020_0320#0,"""A.P.238/4/15/10:30"""
skit01#0,"""The Uncontrollable Beast"""
skit02#0,"""第９章 筋違いのカーテンコール"""
skit03#0,"""The First Divide"""
skit04#0,"""第９章 偶像のシュプレヒコール"""
