ra_012020_0010#0,"""A new stream may eventually form a tributary. This may be one of those times."""
ra_012020_0030#0,"""Should that result be called a tragedy is a matter for individuals to decide."""
ra_012020_0080#0,"""A final result is approaching, as long as you experience that we are satisfied."""
al_010095_0010#0,"""<%me>とシーナちゃんが<br>強制的に連れて行かれたあの場所。"""
al_010095_0020#0,"""あれは、アークスシップだったもの。<br>ダーカーに破壊、侵食され、そのまま<br>ダーカーの巣として利用されていた。"""
al_010095_0030#0,"""それだけじゃなく連れ去ったアークスの<br>模倣体を運用する実験場として<br>使われてもいるみたいだね。"""
al_010095_0040#0,"""複製を能力とするのは【双子】のはず。<br>だけど【双子】の能力なら<br>あんな大がかりな設備は必要ない。"""
al_010095_0050#0,"""あの場にいた【巨躯】の差し金？<br>いや、【巨躯】の口ぶりとしては、<br>他のダークファルスに関係してそうだった。"""
al_010095_0060#0,"""他の、といえば【若人】も気になるね。<br>今代の彼女が、アフィンくんがずっと<br>探し求めていたお姉さん、なのかな？"""
al_010095_0070#0,"""……ダークファルスの依り代、か。<br>依り代となった素体の影響を受けつつも<br>尋常ならざる力を発揮するようになる。"""
al_010095_0080#0,"""そして一度ダークファルスになった<br>依り代を元に戻せた記録はない。<br>……今まで、一度もね。"""
al_010095_0090#0,"""……残念な話になっちゃうけど<br>シーナちゃんにも、アフィンくんにも<br>あまり幸せな結末が見いだせないね。"""
