ra_051010_0001#0,"""A.P.241/10/3"""
ra_051010_0010#0,"""...Y por eso he hecho una excusa<br>para ti esta vez."""
ra_051010_0020#0,"""Sin embargo, incluso si usted es un Guardián,<br>usted todavía necesita someterse a chequeos<br>médicos regulares. Tu entiendes esto,<br>no es haci Matoi?"""
ra_051010_0030#0,"""Bueno."""
ra_051010_0040#0,"""Usted puede pensar <br>que esto es una broma,<br><%me>, pero lo mismo vale para ti también! <br>No abuse de su posición como Guardianes."""
ra_051010_0050#0,"""Así que <%me> y Segunda Generacion <br>tienen un rol que es diferente de Gi y Ri."""
ra_051010_0060#0,"""¿Qué pasó con ellos que consiguió?"""
ra_051010_0070#0,"""¡Fue una serie de increíbles batallas <br>contra Darkers durante un largo<br>período de tiempo!"""
ra_051010_0080#0,"""Bueno, yo no nací en ese momento,<br>así que no he sido testigo."""
ra_051010_0090#0,"""Hey Xiera, ¿tienes algo que tenga un<br>registro de los logros de esos dos?"""
ra_051010_0100#0,"""Me gustaría ver qué pasó con ARKS <br>después de mi muerte.<br>Siento que podría tener una buena <br>impresión de sólo revisar sus registros."""
ra_051010_0110#0,"""No espero que teng--"""
ra_051010_0120#0,"""Fufufufu...<br>Sí, tenemos uno!"""
ra_051010_0130#0,"""¿Qué? ¿¡De Verdad!?"""
ra_051010_0140#0,"""las experiencias de <%me><br>fueron tan valiosas, que sólo tuve <br>que crear una base de datos sobre ello!"""
ra_051010_0150#0,"""Sin embargo, no he llegado a organizar <br>con <%me> todavía, así que no estoy<br>segura de qué acciones son precisas..."""
ra_051010_0160#0,"""Así que <%me>, <br>echemos un vistazo a su historia juntos."""
ra_051010_0170#0,"""Podemos organizarnos a través <br>de esta información, <br>y voy a ver qué pasó después.<br>¡Será genial!"""
