st_054010_0002#0,"""Con Harriet instalada como gobernante,<br>la paz y la estabilidad volvían al Reino de Cuent."""
st_054010_0004#0,"""Sin embargo, la misión de Harriet fue más allá<br>de simplemente estabilizar su propio país."""
st_054010_0006#0,"""El Cuent recién restaurado se preparó para hacer su movimiento<br>para eliminar la flor sin semillas que lo consume todo, Ephimera."""
st_054010_0010#0,"""Primero, establezcamos lo que sabemos sobre nuestras naciones vecinas. Varuna, si quieres."""
st_054010_0020#0,"""Este continente está aproximadamente dividido en Este, Oeste, Norte y Sur, cada uno de los cuales está ocupado por una de las cuatro naciones."""
st_054010_0030#0,"""Hacia el este se encuentra la Federación de Es-Ars. Está nación fue fundada por mercaderes que intercambian los abundantes recursos de su tierra para obtener ganancias."""
st_054010_0040#0,"""Se especializan en el arte arcano de la proliferación. Según se informa, pueden usar el poder de Ephimera para multiplicar sus cultivos y productos, entre otras cosas."""
st_054010_0050#0,"""A primera vista, parece bastante pacífico. Sin embargo, todavía usan Ephimera, por lo que es probable que haya algo siniestro al acecho debajo de la superficie."""
st_054010_0060#0,"""Al oeste se encuentra el Santo Reino de Epic. Este reino se estableció en un oasis, donde se reunieron quienes buscaban prácticas ascéticas."""
st_054010_0070#0,"""Según el rumor, han logrado refinar una poción que puede controlar los corazones y las mentes. Usando Ephimera, sin duda."""
st_054010_0080#0,"""En el norte, el imperio de Verunian. Son una nación guerrera, que eligen al guerrero más fuerte de la generación anterior para ser su Emperador."""
st_054010_0090#0,"""Es una tierra de bárbaros e idiotas. Han encontrado una manera de aumentar sus cuerpos demoníacamente."""
st_054010_0100#0,"""Lo cual nos deja, el Reino Mágico de Cuent, en el sur. Nuestro enfoque es aplicar Maná en toda la naturaleza."""
st_054010_0110#0,"""Esta nación hizo un gran progreso a través de su investigación mágica. El Devil Castle que desarrollé fue una vez exclusivo de Cuent."""
st_054010_0120#0,"""Por supuesto, cierta persona filtró la tecnología, y las cuatro naciones ahora la poseen."""
st_054010_0130#0,"""Con la ayuda del guardián, los Devil Castles de Cuent están siendo eliminados uno por uno."""
st_054010_0140#0,"""Sin embargo, cada nación controla sus propios Devil Castles. Estos aún están en pie, incluidos los que se encuentran a lo largo de las fronteras."""
st_054010_0150#0,"""Con los Devil Castles estamos en un punto muerto, las relaciones diplomáticas entre las naciones se han roto por completo."""
st_054010_0160#0,"""En este momento, no tenemos idea del estado de las cosas en las otras naciones."""
st_054010_0170#0,"""Cada vez que alguien intenta cruzar sin ser invitado, un Devil Castle se activa y toma medidas para repeler a los intrusos."""
st_054010_0180#0,"""Bueno, estoy seguro de que ninguno es tan estúpido como para intentar tal cosa."""
st_054010_0190#0,"""¡Traigo un informe!, ¡Un Devil Castle se activó en nuestra frontera con Verun!, ¡Algo viene en camino!"""
st_054010_0200#0,"""...Entonces, todavía hay algunos lo suficientemente estúpidos como para<br>intentar tal cosa."""
st_054010_0210#0,"""Puede ser un emisario de Verun. ¡Debemos apresurarnos a la frontera!"""
skit01#0,"""La destrucción y la lucha"""
skit02#0,"""Una nación en ruinas"""
name01#0,"""Soldado"""
name02#0,"""？？？"""
